model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,167444,FALSE,TRUE,87,33676,87,33676,0.005008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,169288,TRUE,TRUE,87,33676,87,33676,0.00497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,167648,FALSE,TRUE,87,33676,87,33676,0.005021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,167528,FALSE,TRUE,87,33676,87,33676,0.004989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,170024,FALSE,TRUE,87,33676,87,33676,0.005014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.168792,167252,FALSE,FALSE,87,33676,87,33676,0.004974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.154872,169732,FALSE,FALSE,87,33676,87,33676,0.004955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,166976,FALSE,TRUE,87,33676,87,33676,0.005014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,167892,FALSE,TRUE,87,33676,87,33676,0.005122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.330981,166524,FALSE,FALSE,87,33676,87,33676,0.004949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,166708,TRUE,TRUE,87,33676,87,33676,0.004962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
