model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,174492,FALSE,TRUE,87,33676,70,34986,0.016101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306
ARMCacheCoherence-PT-none,10,0.0,174544,TRUE,TRUE,87,33676,69,35050,0.018526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
ARMCacheCoherence-PT-none,11,0.0,175328,FALSE,TRUE,87,33676,64,35451,0.024615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,12,0.0,175856,FALSE,TRUE,87,33676,64,35454,0.021801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,13,0.0,173092,FALSE,TRUE,87,33676,65,35261,0.022082,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586
ARMCacheCoherence-PT-none,14,0.150689,174640,FALSE,FALSE,87,33676,66,35244,0.019193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,15,0.118585,174204,FALSE,FALSE,87,33676,67,35368,0.021004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692
ARMCacheCoherence-PT-none,16,0.0,173404,FALSE,TRUE,87,33676,65,35073,0.019946,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396
ARMCacheCoherence-PT-none,2,0.0,175676,FALSE,TRUE,87,33676,63,35453,0.024726,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,3,0.973249,174452,FALSE,FALSE,87,33676,64,35451,0.024655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,4,0.0,174152,TRUE,TRUE,87,33676,65,35181,0.02177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504
ARMCacheCoherence-PT-none,5,0.0,176964,FALSE,TRUE,87,33676,63,35453,0.024656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,6,0.0,173352,FALSE,TRUE,87,33676,68,34987,0.019675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308
ARMCacheCoherence-PT-none,7,0.301798,175092,TRUE,FALSE,87,33676,65,35452,0.021741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
