model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.28,6160,FALSE,TRUE,87,33676,67,750,2.4914,196788162,0,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.59,5996,TRUE,TRUE,87,33676,67,699,2.2519,300671362,0,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.11,5744,FALSE,TRUE,87,33676,61,626,2.14722,126180801,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.12,3440,FALSE,TRUE,87,33676,1,1,0.54953,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.45,5900,FALSE,TRUE,87,33676,62,655,2.20261,136889601,1,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.14,7068,FALSE,FALSE,87,33676,64,658,2.20733,230787202,0,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.15,7112,FALSE,FALSE,87,33676,64,681,2.23619,151310402,0,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.07,6000,FALSE,TRUE,87,33676,64,687,2.25231,282420601,1,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.11,5740,FALSE,TRUE,87,33676,60,625,2.14424,115696001,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.45,6964,FALSE,FALSE,87,33676,61,626,2.15237,126180801,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.09,6000,TRUE,TRUE,87,33676,63,699,2.26263,202334001,1,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.25,5740,FALSE,TRUE,87,33676,60,625,2.15833,115696001,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.19,6128,FALSE,TRUE,87,33676,65,738,2.29713,179705601,1,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.04,7004,TRUE,FALSE,87,33676,62,637,2.16618,126980802,0,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.10,5836,TRUE,TRUE,87,33676,62,655,2.19205,126404802,0,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.29,5780,FALSE,TRUE,87,33676,61,636,2.16401,126980801,1,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,647
ASLink-PT-01a,1,3.90,6396,TRUE,TRUE,431,735,348,661,0.03703,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.18,5544,TRUE,TRUE,431,735,333,650,0.073244,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.25,7496,FALSE,FALSE,431,735,333,650,0.071061,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,3.75,8016,FALSE,FALSE,431,735,334,651,0.071081,35136997,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.16,5532,FALSE,TRUE,431,735,333,650,0.071379,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.08,5536,FALSE,TRUE,431,735,335,651,0.071314,41723891,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.14,7556,FALSE,FALSE,431,735,335,652,0.07173,36411410,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,16,0.06,5536,TRUE,TRUE,431,735,339,656,0.072408,35845351,51,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,2,1.76,7496,FALSE,FALSE,431,735,333,650,0.094239,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.01,5468,TRUE,TRUE,431,735,335,652,0.075818,35224895,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,4,0.02,5532,FALSE,TRUE,431,735,335,651,0.093049,35240111,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,5,0.87,5804,TRUE,TRUE,431,735,345,658,0.04128,47349724,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,6,9.66,8076,FALSE,FALSE,431,735,333,650,0.073073,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,7,1.04,5844,TRUE,TRUE,431,735,336,653,0.073023,35454491,54,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,8,0.02,5544,FALSE,TRUE,431,735,334,651,0.072656,35135735,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,9,0.02,5612,FALSE,TRUE,431,735,342,656,0.036363,44993988,55,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01b,1,2.89,7240,FALSE,FALSE,846,1148,346,720,0.042536,51732664,445,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,10,0.17,7524,TRUE,FALSE,846,1148,337,664,0.078815,36278045,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,11,0.18,5820,FALSE,TRUE,846,1148,351,674,0.061911,95402098,443,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-01b,12,0.34,5740,TRUE,TRUE,846,1148,342,667,0.079163,36323699,447,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,28
ASLink-PT-01b,13,1.95,5768,FALSE,TRUE,846,1148,339,665,0.079089,68719727,446,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,34
ASLink-PT-01b,14,0.11,7500,FALSE,FALSE,846,1148,347,671,0.060403,53805826,442,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,15,0.42,5844,TRUE,TRUE,846,1148,352,675,0.061992,131438923,441,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-01b,16,0.35,6972,FALSE,FALSE,846,1148,346,671,0.080089,36922264,445,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,27
