model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.78,6240,FALSE,TRUE,87,33676,67,802,0.584788,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.98,6236,TRUE,TRUE,87,33676,67,762,0.578367,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.90,5980,FALSE,TRUE,87,33676,61,698,0.588848,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.30,3368,FALSE,TRUE,87,33676,1,1,0.529404,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.56,6004,FALSE,TRUE,87,33676,62,727,0.580003,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.85,7040,FALSE,FALSE,87,33676,64,731,0.579543,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.21,7192,FALSE,FALSE,87,33676,64,743,0.58128,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.31,6104,FALSE,TRUE,87,33676,64,761,0.578021,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.34,5976,FALSE,TRUE,87,33676,60,697,0.580306,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.40,7084,FALSE,FALSE,87,33676,61,698,0.593689,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.21,6240,TRUE,TRUE,87,33676,63,772,0.597811,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.20,5976,FALSE,TRUE,87,33676,60,697,0.582729,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.31,6240,FALSE,TRUE,87,33676,65,800,0.587379,192153601,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.13,7084,TRUE,FALSE,87,33676,62,699,0.586736,136500802,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.33,6000,TRUE,TRUE,87,33676,62,727,0.580919,136724802,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.08,5980,FALSE,TRUE,87,33676,61,698,0.587803,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,2.27,5900,TRUE,TRUE,431,735,349,662,0.002097,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.67,5528,TRUE,TRUE,431,735,334,651,0.002596,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.77,7420,FALSE,FALSE,431,735,334,651,0.002635,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,4.26,7616,FALSE,FALSE,431,735,334,651,0.00269,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.08,5468,FALSE,TRUE,431,735,334,651,0.002628,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.06,5468,FALSE,TRUE,431,735,336,652,0.002638,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.24,7480,FALSE,FALSE,431,735,336,653,0.002652,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.71,5528,TRUE,TRUE,431,735,340,657,0.002656,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.41,6892,FALSE,FALSE,431,735,334,651,0.002644,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.15,5464,TRUE,TRUE,431,735,336,653,0.002591,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.19,5468,FALSE,TRUE,431,735,336,652,0.002561,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.19,5748,TRUE,TRUE,431,735,346,659,0.002096,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.28,7476,FALSE,FALSE,431,735,334,651,0.002673,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.79,5976,TRUE,TRUE,431,735,337,654,0.002658,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.17,5468,FALSE,TRUE,431,735,335,652,0.002602,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.26,5544,FALSE,TRUE,431,735,343,657,0.002059,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,4.98,7420,FALSE,FALSE,846,1148,353,667,0.00282,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.75,7436,TRUE,FALSE,846,1148,343,660,0.003542,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.31,5740,FALSE,TRUE,846,1148,357,670,0.003578,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.85,5552,TRUE,TRUE,846,1148,348,663,0.003548,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,1.09,5680,FALSE,TRUE,846,1148,346,662,0.003573,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.29,7420,FALSE,FALSE,846,1148,353,667,0.003578,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,1.00,5820,TRUE,TRUE,846,1148,359,672,0.003579,136141919,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.23,6888,FALSE,FALSE,846,1148,352,667,0.003584,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,2.45,7432,FALSE,FALSE,846,1148,342,659,0.003562,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.11,5600,FALSE,TRUE,846,1148,346,663,0.003524,120316707,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.20,5476,TRUE,TRUE,846,1148,343,660,0.003548,37626327,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,2.95,7820,FALSE,FALSE,846,1148,348,663,0.003537,46020435,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.05,5544,TRUE,TRUE,846,1148,344,661,0.003588,37798253,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.16,6916,FALSE,FALSE,846,1148,346,662,0.003607,46715273,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.27,5768,TRUE,TRUE,846,1148,356,669,0.003564,93020822,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.38,5476,FALSE,TRUE,846,1148,341,658,0.003536,37441819,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,14.84,64856,FALSE,FALSE,626,1008,470,875,0.003593,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,2.05,7952,FALSE,FALSE,626,1008,468,874,0.00351,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.23,7428,TRUE,FALSE,626,1008,468,874,0.003486,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,39.13,267540,TRUE,FALSE,626,1008,470,875,0.003479,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.39,7396,FALSE,FALSE,626,1008,479,881,0.002769,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.23,6180,FALSE,TRUE,626,1008,465,872,0.003464,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,300.06,1515940,NONE,FALSE,626,1008,478,882,0.003494,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.62,46708,FALSE,FALSE,626,1008,465,872,0.003503,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.10,6180,FALSE,TRUE,626,1008,465,872,0.003484,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.09,6240,TRUE,TRUE,626,1008,465,872,0.003484,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.08,7888,FALSE,FALSE,626,1008,465,872,0.003518,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.13,7888,FALSE,FALSE,626,1008,465,872,0.00346,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.04,6252,TRUE,TRUE,626,1008,467,874,0.00349,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.38,6396,FALSE,TRUE,626,1008,474,879,0.003446,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.11,7952,FALSE,FALSE,626,1008,467,874,0.003465,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.08,6260,FALSE,TRUE,626,1008,466,873,0.003541,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,1.17,8012,FALSE,FALSE,1242,1621,491,895,0.005003,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.70,6200,FALSE,TRUE,1242,1621,474,881,0.004928,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.39,7920,TRUE,FALSE,1242,1621,477,884,0.004972,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,1.25,9964,TRUE,FALSE,1242,1621,493,896,0.004983,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.86,7912,FALSE,FALSE,1242,1621,475,882,0.004884,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.11,6304,TRUE,TRUE,1242,1621,493,896,0.00499,0,690,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,300.05,1361760,NONE,FALSE,1242,1621,487,891,0.004933,0,690,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.55,7912,TRUE,FALSE,1242,1621,475,882,0.00494,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.40,6280,TRUE,TRUE,1242,1621,482,888,0.004977,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,21.89,13136,TRUE,FALSE,1242,1621,499,901,0.004998,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.10,7452,FALSE,FALSE,1242,1621,479,886,0.004978,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
