model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.13,5988,FALSE,TRUE,87,33676,67,750,2.2837,196788162,17,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.10,6008,TRUE,TRUE,87,33676,67,699,2.22288,300671362,18,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.02,5664,FALSE,TRUE,87,33676,61,626,2.10559,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.14,3360,FALSE,TRUE,87,33676,1,1,0.537459,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.16,5824,FALSE,TRUE,87,33676,62,655,2.15747,136889601,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.39,7048,FALSE,FALSE,87,33676,64,658,2.16567,230787202,21,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.09,7096,FALSE,FALSE,87,33676,64,681,2.18439,151310402,20,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.14,5984,FALSE,TRUE,87,33676,64,687,2.2091,282420601,22,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.40,5664,FALSE,TRUE,87,33676,60,625,2.1286,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.41,6948,FALSE,FALSE,87,33676,61,626,2.10836,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,4,1.65,6000,TRUE,TRUE,87,33676,63,699,2.21985,202334001,22,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.91,5664,FALSE,TRUE,87,33676,60,625,2.10523,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.35,6048,FALSE,TRUE,87,33676,65,738,2.28172,179705601,19,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.40,6988,TRUE,FALSE,87,33676,62,637,2.11839,126980802,22,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,8,1.22,5892,TRUE,TRUE,87,33676,62,655,2.14495,126404802,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.47,5772,FALSE,TRUE,87,33676,61,636,2.13931,126980801,23,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ASLink-PT-01a,1,0.96,5964,TRUE,TRUE,431,735,349,662,0.053789,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.15,5592,TRUE,TRUE,431,735,334,651,0.070069,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.23,7484,FALSE,FALSE,431,735,334,651,0.069792,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,4.05,7676,FALSE,FALSE,431,735,334,651,0.071681,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.62,5472,FALSE,TRUE,431,735,334,651,0.070216,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,1.02,5472,FALSE,TRUE,431,735,336,652,0.070603,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.63,7544,FALSE,FALSE,431,735,336,653,0.070548,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.17,5600,TRUE,TRUE,431,735,340,657,0.071117,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.39,6960,FALSE,FALSE,431,735,334,651,0.07067,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.04,5532,TRUE,TRUE,431,735,336,653,0.071145,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.16,5476,FALSE,TRUE,431,735,336,652,0.070332,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.15,5816,TRUE,TRUE,431,735,346,659,0.053414,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.13,7540,FALSE,FALSE,431,735,334,651,0.070006,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.61,6044,TRUE,TRUE,431,735,337,654,0.074851,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.09,5472,FALSE,TRUE,431,735,335,652,0.070467,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.08,5608,FALSE,TRUE,431,735,343,657,0.053131,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,4.28,7404,FALSE,FALSE,846,1148,353,667,0.058969,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.23,7500,TRUE,FALSE,846,1148,343,660,0.077463,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.13,5804,FALSE,TRUE,846,1148,357,670,0.07896,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.12,5616,TRUE,TRUE,846,1148,348,663,0.077639,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.97,5744,FALSE,TRUE,846,1148,346,662,0.077122,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,1.13,7488,FALSE,FALSE,846,1148,353,667,0.078615,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,1.54,5884,TRUE,TRUE,846,1148,359,672,0.079346,136141919,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.18,6952,FALSE,FALSE,846,1148,352,667,0.079304,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,1.98,7496,FALSE,FALSE,846,1148,342,659,0.077142,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.07,5604,FALSE,TRUE,846,1148,346,663,0.078136,120316707,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.06,5544,TRUE,TRUE,846,1148,343,660,0.077446,37626327,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,2.80,7856,FALSE,FALSE,846,1148,348,663,0.078541,46020435,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.07,5612,TRUE,TRUE,846,1148,344,661,0.077768,37798253,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.10,6980,FALSE,FALSE,846,1148,346,662,0.077759,46715273,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.10,5836,TRUE,TRUE,846,1148,356,669,0.078639,93020822,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.08,5540,FALSE,TRUE,846,1148,341,658,0.07693,37441819,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,14.14,64856,FALSE,FALSE,626,1008,470,875,0.126114,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,2.04,8016,FALSE,FALSE,626,1008,468,874,0.126055,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.08,7488,TRUE,FALSE,626,1008,468,874,0.126908,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,39.39,267532,TRUE,FALSE,626,1008,470,875,0.126102,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.04,7460,FALSE,FALSE,626,1008,479,881,0.094661,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.02,6184,FALSE,TRUE,626,1008,465,872,0.125548,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,300.06,1494572,NONE,FALSE,626,1008,478,882,0.126847,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.68,46700,FALSE,FALSE,626,1008,465,872,0.125049,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,1.49,6180,FALSE,TRUE,626,1008,465,872,0.125561,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,1.11,6312,TRUE,TRUE,626,1008,465,872,0.125293,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.36,7952,FALSE,FALSE,626,1008,465,872,0.125285,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.40,7956,FALSE,FALSE,626,1008,465,872,0.126529,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.33,6320,TRUE,TRUE,626,1008,467,874,0.128049,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.25,6464,FALSE,TRUE,626,1008,474,879,0.128708,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.47,8016,FALSE,FALSE,626,1008,467,874,0.12559,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.16,6324,FALSE,TRUE,626,1008,466,873,0.125956,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.17,8068,FALSE,FALSE,1242,1621,491,895,0.142825,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.10,6204,FALSE,TRUE,1242,1621,474,881,0.138931,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.14,7980,TRUE,FALSE,1242,1621,477,884,0.139588,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.82,9984,TRUE,FALSE,1242,1621,493,896,0.142572,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.26,7976,FALSE,FALSE,1242,1621,475,882,0.138977,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.12,6372,TRUE,TRUE,1242,1621,493,896,0.142591,0,690,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,300.06,1334232,NONE,FALSE,1242,1621,487,891,0.140953,0,690,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.35,7976,TRUE,FALSE,1242,1621,475,882,0.143654,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.34,6344,TRUE,TRUE,1242,1621,482,888,0.141801,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,22.67,13152,TRUE,FALSE,1242,1621,499,901,0.147115,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.06,7520,FALSE,FALSE,1242,1621,479,886,0.140024,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.08,7448,FALSE,FALSE,1242,1621,476,883,0.13949,0,697,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.05,6204,FALSE,TRUE,1242,1621,476,883,0.140178,0,698,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,5.70,21868,TRUE,FALSE,1242,1621,487,893,0.143019,0,689,46,34,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0.78,7980,FALSE,FALSE,1242,1621,477,884,0.14252,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,9,1.48,8056,FALSE,FALSE,1242,1621,485,890,0.141727,0,690,47,33,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,300.07,1234972,NONE,FALSE,821,1281,597,1094,0.196419,0,159,33,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,10,3.36,7008,FALSE,TRUE,821,1281,601,1096,0.197018,0,156,38,43,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,11,300.05,1040488,NONE,FALSE,821,1281,597,1094,0.197015,0,159,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,12,3.24,16176,FALSE,FALSE,821,1281,596,1093,0.196358,0,159,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,13,0.14,6988,FALSE,TRUE,821,1281,596,1093,0.196489,0,159,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,14,0.17,8348,FALSE,FALSE,821,1281,597,1094,0.196616,0,158,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
