model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02,6068,FALSE,TRUE,87,33676,67,750,130.986,196788162,17,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.02,5928,TRUE,TRUE,87,33676,67,699,131.171,300671362,18,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.10,5644,FALSE,TRUE,87,33676,61,626,132.011,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.01,3344,FALSE,TRUE,87,33676,1,1,87.165,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.03,5808,FALSE,TRUE,87,33676,62,655,131.658,136889601,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.09,6916,FALSE,FALSE,87,33676,64,658,131.214,230787202,21,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.05,6964,FALSE,FALSE,87,33676,64,681,130.647,151310402,20,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.01,5916,FALSE,TRUE,87,33676,64,687,131.022,282420601,22,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.06,5640,FALSE,TRUE,87,33676,60,625,131.296,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.03,6812,FALSE,FALSE,87,33676,61,626,132.075,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.01,5916,TRUE,TRUE,87,33676,63,699,133.047,202334001,22,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.01,5640,FALSE,TRUE,87,33676,60,625,131.498,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.02,6032,FALSE,TRUE,87,33676,65,738,131.789,179705601,19,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.02,6852,TRUE,FALSE,87,33676,62,637,131.918,126980802,22,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.01,5808,TRUE,TRUE,87,33676,62,655,132.018,126404802,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.06,5680,FALSE,TRUE,87,33676,61,636,131.081,126980801,23,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ASLink-PT-01a,1,0.92,5748,TRUE,TRUE,431,735,349,662,2.65386,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.02,5512,TRUE,TRUE,431,735,334,651,3.45969,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.17,7404,FALSE,FALSE,431,735,334,651,3.44778,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,3.83,7432,FALSE,FALSE,431,735,334,651,3.43637,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.01,5448,FALSE,TRUE,431,735,334,651,3.43883,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.01,5452,FALSE,TRUE,431,735,336,652,3.43554,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.02,7408,FALSE,FALSE,431,735,336,653,3.45003,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.01,5516,TRUE,TRUE,431,735,340,657,3.50252,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.30,6876,FALSE,FALSE,431,735,334,651,3.44597,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.01,5444,TRUE,TRUE,431,735,336,653,3.47184,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.01,5448,FALSE,TRUE,431,735,336,652,3.43694,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.05,5736,TRUE,TRUE,431,735,346,659,2.6279,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.06,7404,FALSE,FALSE,431,735,334,651,3.45138,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.55,5960,TRUE,TRUE,431,735,337,654,3.462,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.02,5448,FALSE,TRUE,431,735,335,652,3.44692,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.02,5524,FALSE,TRUE,431,735,343,657,2.63461,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,3.99,7216,FALSE,FALSE,846,1148,353,667,5.90566,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.14,7420,TRUE,FALSE,846,1148,343,660,7.71987,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.04,5720,FALSE,TRUE,846,1148,357,670,7.95019,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.02,5536,TRUE,TRUE,846,1148,348,663,7.78896,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.83,5660,FALSE,TRUE,846,1148,346,662,7.77748,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.07,7348,FALSE,FALSE,846,1148,353,667,7.75579,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.72,5800,TRUE,TRUE,846,1148,359,672,7.98151,136141919,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.03,6816,FALSE,FALSE,846,1148,352,667,7.92653,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,1.88,7420,FALSE,FALSE,846,1148,342,659,7.71753,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.02,5580,FALSE,TRUE,846,1148,346,663,7.72242,120316707,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.01,5456,TRUE,TRUE,846,1148,343,660,7.6656,37626327,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,2.82,7748,FALSE,FALSE,846,1148,348,663,7.75207,46020435,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.01,5524,TRUE,TRUE,846,1148,344,661,7.65586,37798253,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.01,6904,FALSE,FALSE,846,1148,346,662,7.78385,46715273,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.03,5756,TRUE,TRUE,846,1148,356,669,7.89553,93020822,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.04,5452,FALSE,TRUE,846,1148,341,658,7.62796,37441819,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,14.59,64776,FALSE,FALSE,626,1008,470,875,14.8392,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,1.92,7880,FALSE,FALSE,626,1008,468,874,14.9052,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.05,7356,TRUE,FALSE,626,1008,468,874,14.9805,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,40.93,267512,TRUE,FALSE,626,1008,470,875,14.9086,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.04,7380,FALSE,FALSE,626,1008,479,881,11.2961,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.06,6160,FALSE,TRUE,626,1008,465,872,14.763,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,300.07,1425624,NONE,FALSE,626,1008,478,882,14.9672,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.89,46616,FALSE,FALSE,626,1008,465,872,14.7999,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.07,6160,FALSE,TRUE,626,1008,465,872,14.81,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.18,6228,TRUE,TRUE,626,1008,465,872,14.8643,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.11,7872,FALSE,FALSE,626,1008,465,872,14.8171,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.13,7872,FALSE,FALSE,626,1008,465,872,14.6912,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.11,6236,TRUE,TRUE,626,1008,467,874,14.9136,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.25,6380,FALSE,TRUE,626,1008,474,879,14.9788,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.17,7884,FALSE,FALSE,626,1008,467,874,14.8547,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.15,6244,FALSE,TRUE,626,1008,466,873,14.8925,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.10,7940,FALSE,FALSE,1242,1621,491,895,32.0401,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.02,6180,FALSE,TRUE,1242,1621,474,881,31.518,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.10,7900,TRUE,FALSE,1242,1621,477,884,31.3245,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.82,9900,TRUE,FALSE,1242,1621,493,896,31.9746,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.03,7896,FALSE,FALSE,1242,1621,475,882,31.3959,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.01,6288,TRUE,TRUE,1242,1621,493,896,32.0083,0,690,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,300.07,1286252,NONE,FALSE,1242,1621,487,891,31.6977,0,690,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.05,7896,TRUE,FALSE,1242,1621,475,882,31.2036,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.02,6260,TRUE,TRUE,1242,1621,482,888,31.4444,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,21.74,13064,TRUE,FALSE,1242,1621,499,901,32.6413,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.04,7380,FALSE,FALSE,1242,1621,479,886,31.7337,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.09,7368,FALSE,FALSE,1242,1621,476,883,31.2182,0,697,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.02,6180,FALSE,TRUE,1242,1621,476,883,31.3306,0,698,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,5.64,21784,TRUE,FALSE,1242,1621,487,893,31.8927,0,689,46,34,10,0,3,0,0,0,0,0,0,0,0,0,0,0
