model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.23,6260,FALSE,TRUE,87,33676,67,802,0.58887,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.19,6244,TRUE,TRUE,87,33676,67,762,0.585643,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.14,5976,FALSE,TRUE,87,33676,61,698,0.588583,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.06,3416,FALSE,TRUE,87,33676,1,1,0.537419,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.21,6052,FALSE,TRUE,87,33676,62,727,0.591138,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.08,7088,FALSE,FALSE,87,33676,64,731,0.587268,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.16,7244,FALSE,FALSE,87,33676,64,743,0.584534,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.17,6152,FALSE,TRUE,87,33676,64,761,0.586645,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.17,5976,FALSE,TRUE,87,33676,60,697,0.590584,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.16,7132,FALSE,FALSE,87,33676,61,698,0.583875,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.21,6240,TRUE,TRUE,87,33676,63,772,0.586936,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.07,5976,FALSE,TRUE,87,33676,60,697,0.587508,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.10,6252,FALSE,TRUE,87,33676,65,800,0.595022,192153601,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.04,7132,TRUE,FALSE,87,33676,62,699,0.587089,136500802,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
