model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.18,6220,FALSE,TRUE,87,33676,67,802,0.585911,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.21,6200,TRUE,TRUE,87,33676,67,762,0.584512,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.39,5940,FALSE,TRUE,87,33676,61,698,0.585501,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.70,3372,FALSE,TRUE,87,33676,1,1,0.549794,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.29,6012,FALSE,TRUE,87,33676,62,727,0.586953,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.63,7056,FALSE,FALSE,87,33676,64,731,0.576803,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.27,7260,FALSE,FALSE,87,33676,64,743,0.58725,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.35,6172,FALSE,TRUE,87,33676,64,761,0.594527,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.21,5936,FALSE,TRUE,87,33676,60,697,0.588214,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.11,7152,FALSE,FALSE,87,33676,61,698,0.583791,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.08,6204,TRUE,TRUE,87,33676,63,772,0.595719,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.31,5936,FALSE,TRUE,87,33676,60,697,0.584076,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.22,6216,FALSE,TRUE,87,33676,65,800,0.586658,192153601,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.15,7156,TRUE,FALSE,87,33676,62,699,0.599253,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.22,6076,TRUE,TRUE,87,33676,62,727,0.587181,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.18,5936,FALSE,TRUE,87,33676,61,698,0.588152,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,3.47,6384,TRUE,TRUE,431,735,348,661,0.001657,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.11,5604,TRUE,TRUE,431,735,333,650,0.00273,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.16,7480,FALSE,FALSE,431,735,333,650,0.002789,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,3.62,8016,FALSE,FALSE,431,735,334,651,0.002724,35136997,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.12,5460,FALSE,TRUE,431,735,333,650,0.00271,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.05,5464,FALSE,TRUE,431,735,335,651,0.002711,41723891,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.14,7544,FALSE,FALSE,431,735,335,652,0.002717,36411410,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,16,0.09,5600,TRUE,TRUE,431,735,339,656,0.002755,35845351,51,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,2,1.74,7484,FALSE,FALSE,431,735,333,650,0.002735,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.12,5528,TRUE,TRUE,431,735,335,652,0.00275,35224895,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
