model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.08,6276,FALSE,TRUE,87,33676,67,802,0.593061,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.09,6252,TRUE,TRUE,87,33676,67,762,0.601161,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.05,5988,FALSE,TRUE,87,33676,61,698,0.596524,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.07,3428,FALSE,TRUE,87,33676,1,1,0.546085,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.06,6064,FALSE,TRUE,87,33676,62,727,0.602972,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.15,7108,FALSE,FALSE,87,33676,64,731,0.586743,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.11,7316,FALSE,FALSE,87,33676,64,743,0.593521,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.11,6232,FALSE,TRUE,87,33676,64,761,0.592337,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.07,5988,FALSE,TRUE,87,33676,60,697,0.591872,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.16,7208,FALSE,FALSE,87,33676,61,698,0.598959,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.11,6252,TRUE,TRUE,87,33676,63,772,0.588316,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.08,5984,FALSE,TRUE,87,33676,60,697,0.588623,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.19,6268,FALSE,TRUE,87,33676,65,800,0.591279,192153601,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.36,7208,TRUE,FALSE,87,33676,62,699,0.590962,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.13,6068,TRUE,TRUE,87,33676,62,727,0.597208,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.17,5984,FALSE,TRUE,87,33676,61,698,0.592418,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,3.48,6448,TRUE,TRUE,431,735,348,661,0.001664,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.23,5604,TRUE,TRUE,431,735,333,650,0.002736,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
