model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,4.70,6252,FALSE,TRUE,87,33676,67,802,0.49363,208946562,0,0,0,34159,0,0,16,3,1,0,0,0,0,0,0,0,1306
ARMCacheCoherence-PT-none,10,2.74,6236,TRUE,TRUE,87,33676,67,762,0.4856,320497762,0,0,0,34266,0,0,16,2,1,0,0,0,0,0,0,0,1384
ARMCacheCoherence-PT-none,11,1.26,5972,FALSE,TRUE,87,33676,62,699,0.481543,136500802,0,0,0,34728,0,0,16,3,1,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,12,0.39,3412,FALSE,TRUE,87,33676,1,1,0.475949,2,0,0,0,34731,0,0,16,3,1,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,13,0.88,6048,FALSE,TRUE,87,33676,63,728,0.485438,147929602,0,0,0,34509,0,0,16,3,1,0,0,0,0,0,0,0,1586
ARMCacheCoherence-PT-none,14,0.88,7084,FALSE,FALSE,87,33676,64,731,0.484396,248027202,0,0,0,34491,0,0,16,2,1,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,15,0.96,7240,FALSE,FALSE,87,33676,64,743,0.490859,162270402,0,0,0,34600,0,0,16,3,1,0,0,0,0,0,0,0,1692
ARMCacheCoherence-PT-none,16,1.50,6232,FALSE,TRUE,87,33676,65,762,0.490772,304860602,0,0,0,34293,0,0,16,1,1,0,0,0,0,0,0,0,1396
ARMCacheCoherence-PT-none,2,1.60,5972,FALSE,TRUE,87,33676,61,698,0.481052,125296002,0,0,0,34731,0,0,16,3,1,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,3,1.94,7132,FALSE,FALSE,87,33676,62,699,0.481317,136500802,0,0,0,34728,0,0,16,3,1,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,4,2.50,6236,TRUE,TRUE,87,33676,64,773,0.484333,218130002,0,0,0,34387,0,0,16,2,1,0,0,0,0,0,0,0,1504
ARMCacheCoherence-PT-none,5,3.70,5972,FALSE,TRUE,87,33676,61,698,0.478225,125296002,0,0,0,34731,0,0,16,3,1,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,6,1.92,6252,FALSE,TRUE,87,33676,66,801,0.489959,192153602,0,0,0,34162,0,0,16,3,1,0,0,0,0,0,0,0,1308
ARMCacheCoherence-PT-none,7,0.52,7128,TRUE,FALSE,87,33676,62,699,0.480937,136500802,0,0,0,34728,0,0,16,3,1,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,8,0.31,6044,TRUE,TRUE,87,33676,62,727,0.480237,136724802,0,0,0,34512,0,0,16,3,1,0,0,0,0,0,0,0,1588
ARMCacheCoherence-PT-none,9,0.22,5972,FALSE,TRUE,87,33676,62,699,0.480514,136500802,0,0,0,34728,0,0,16,3,1,0,0,0,0,0,0,0,1778
ASLink-PT-01a,1,10.42,6780,TRUE,TRUE,431,735,348,661,0.001863,45541841,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,71
ASLink-PT-01a,10,0.40,5604,TRUE,TRUE,431,735,344,662,0.001872,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,11,3.28,7764,FALSE,FALSE,431,735,344,662,0.00187,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,12,2.83,7760,FALSE,FALSE,431,735,345,659,0.00185,45239771,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,74
ASLink-PT-01a,13,0.29,5584,FALSE,TRUE,431,735,344,662,0.001865,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,14,0.67,5584,FALSE,TRUE,431,735,346,663,0.001872,53749174,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,75
