model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02,6204,FALSE,TRUE,87,33676,67,802,0.576628,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.01,6196,TRUE,TRUE,87,33676,67,762,0.579722,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.01,5932,FALSE,TRUE,87,33676,62,699,0.580572,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.00,3364,FALSE,TRUE,87,33676,1,1,0.533256,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.06,6008,FALSE,TRUE,87,33676,63,728,0.579284,147929602,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.07,7052,FALSE,FALSE,87,33676,64,731,0.57668,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.09,7256,FALSE,FALSE,87,33676,64,743,0.582933,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.08,6176,FALSE,TRUE,87,33676,65,762,0.578593,304860602,0,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.03,5936,FALSE,TRUE,87,33676,61,698,0.574251,125296002,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.10,7148,FALSE,FALSE,87,33676,62,699,0.574326,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.13,6196,TRUE,TRUE,87,33676,64,773,0.579928,218130002,0,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.04,5932,FALSE,TRUE,87,33676,61,698,0.574976,125296002,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.11,6216,FALSE,TRUE,87,33676,66,801,0.577638,192153602,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.53,7148,TRUE,FALSE,87,33676,62,699,0.575271,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.12,6068,TRUE,TRUE,87,33676,62,727,0.581734,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.16,5932,FALSE,TRUE,87,33676,62,699,0.583209,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,10.13,8572,TRUE,TRUE,431,735,348,661,0.002104,45541841,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,71
ASLink-PT-01a,10,0.18,5620,TRUE,TRUE,431,735,344,662,0.00212,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,11,1.19,7516,FALSE,FALSE,431,735,344,662,0.002109,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,12,2.49,7772,FALSE,FALSE,431,735,345,659,0.002102,45239771,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,74
ASLink-PT-01a,13,0.17,5540,FALSE,TRUE,431,735,344,662,0.002102,45266276,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,76
ASLink-PT-01a,14,0.23,5540,FALSE,TRUE,431,735,346,663,0.002092,53749174,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,75
ASLink-PT-01a,15,0.13,7048,FALSE,FALSE,431,735,346,664,0.002113,47004840,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,74
ASLink-PT-01a,16,0.26,5804,TRUE,TRUE,431,735,351,669,0.002105,46583922,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,68
