model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,FALSE,TRUE,87,33676,67,802,0.596328,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,FALSE,TRUE,87,33676,60,697,0.592952,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.00671,0,FALSE,FALSE,87,33676,61,698,0.607492,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,TRUE,TRUE,87,33676,63,772,0.592206,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,60,697,0.606227,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,65,800,0.602837,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.001224,0,TRUE,FALSE,87,33676,62,699,0.600553,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,TRUE,TRUE,87,33676,62,727,0.594376,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,349,662,0.00201,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.001259,0,FALSE,FALSE,431,735,334,651,0.002522,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,336,653,0.002507,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,336,652,0.002541,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,346,659,0.002019,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
