model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6244,FALSE,TRUE,87,33676,67,802,0.599452,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6220,TRUE,TRUE,87,33676,67,762,0.59069,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5956,FALSE,TRUE,87,33676,61,698,0.591502,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3400,FALSE,TRUE,87,33676,1,1,0.539978,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6036,FALSE,TRUE,87,33676,62,727,0.593985,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.00427,7080,FALSE,FALSE,87,33676,64,731,0.588122,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003214,7284,FALSE,FALSE,87,33676,64,743,0.594672,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6196,FALSE,TRUE,87,33676,64,761,0.590053,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5960,FALSE,TRUE,87,33676,60,697,0.592039,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.006814,7180,FALSE,FALSE,87,33676,61,698,0.595425,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6216,TRUE,TRUE,87,33676,63,772,0.593185,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5956,FALSE,TRUE,87,33676,60,697,0.590834,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6236,FALSE,TRUE,87,33676,65,800,0.594416,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.00134,7176,TRUE,FALSE,87,33676,62,699,0.591646,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6096,TRUE,TRUE,87,33676,62,727,0.591971,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5956,FALSE,TRUE,87,33676,61,698,0.591609,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5876,TRUE,TRUE,431,735,348,661,0.00275,13146186,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,10,0.0,5628,TRUE,TRUE,431,735,333,650,0.00324,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,11,0.396455,8112,FALSE,FALSE,431,735,333,650,0.003263,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,12,0.07974,7544,FALSE,FALSE,431,735,334,651,0.002725,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5484,FALSE,TRUE,431,735,333,650,0.003267,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,14,0.0,5488,FALSE,TRUE,431,735,335,651,0.003244,12082239,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,15,0.001483,7568,FALSE,FALSE,431,735,335,652,0.003273,10637016,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,16,0.0,5624,TRUE,TRUE,431,735,339,656,0.003272,10519513,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,2,0.001188,8296,FALSE,FALSE,431,735,333,650,0.003273,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,3,0.0,5552,TRUE,TRUE,431,735,335,652,0.003271,10354747,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,4,0.0,5488,FALSE,TRUE,431,735,335,651,0.003256,10349035,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,5,0.0,5820,TRUE,TRUE,431,735,345,658,0.002718,13646810,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,6,0.001146,7560,FALSE,FALSE,431,735,333,650,0.003235,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,7,0.0,5980,TRUE,TRUE,431,735,336,653,0.003284,10416352,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,8,0.0,5500,FALSE,TRUE,431,735,334,651,0.003263,10327204,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,9,0.0,5632,FALSE,TRUE,431,735,342,656,0.002727,13008936,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01b,1,0.002984,7708,FALSE,FALSE,846,1148,346,720,0.003684,14632316,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,27
ASLink-PT-01b,10,0.004508,7540,TRUE,FALSE,846,1148,337,664,0.004431,10680871,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,16
