model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6216,FALSE,TRUE,87,33676,67,802,0.585682,13728001,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.0,6188,TRUE,TRUE,87,33676,67,762,0.576653,23232001,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.0,5936,FALSE,TRUE,87,33676,61,698,0.59274,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.0,3376,FALSE,TRUE,87,33676,1,1,0.534832,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6008,FALSE,TRUE,87,33676,62,727,0.582025,9600000,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.004217,7056,FALSE,FALSE,87,33676,64,731,0.585205,17600001,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.003205,7260,FALSE,FALSE,87,33676,64,743,0.586303,10400001,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.0,6176,FALSE,TRUE,87,33676,64,761,0.587274,21780000,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.0,5936,FALSE,TRUE,87,33676,60,697,0.580028,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.004451,7152,FALSE,FALSE,87,33676,61,698,0.57841,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,6204,TRUE,TRUE,87,33676,63,772,0.587307,14520000,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,5932,FALSE,TRUE,87,33676,60,697,0.581637,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,65,800,0.585792,12480000,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.001398,7156,TRUE,FALSE,87,33676,62,699,0.585689,8800001,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,6072,TRUE,TRUE,87,33676,62,727,0.588244,8800001,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.0,5936,FALSE,TRUE,87,33676,61,698,0.578803,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,0.0,6392,TRUE,TRUE,431,735,348,661,0.001647,13146186,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,333,650,0.002741,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.014096,7480,FALSE,FALSE,431,735,333,650,0.002772,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,0.080816,7864,FALSE,FALSE,431,735,334,651,0.002735,10327611,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.0,5460,FALSE,TRUE,431,735,333,650,0.00275,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.0,5464,FALSE,TRUE,431,735,335,651,0.002727,12082239,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.001436,7544,FALSE,FALSE,431,735,335,652,0.00276,10637016,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,16,0.0,5600,TRUE,TRUE,431,735,339,656,0.002773,10519513,51,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,2,0.001391,7480,FALSE,FALSE,431,735,333,650,0.002741,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.0,5528,TRUE,TRUE,431,735,335,652,0.002766,10354747,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,4,0.0,5464,FALSE,TRUE,431,735,335,651,0.002759,10349035,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,5,0.0,5796,TRUE,TRUE,431,735,345,658,0.001653,13646810,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,6,0.001365,8064,FALSE,FALSE,431,735,333,650,0.002733,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,7,0.0,5836,TRUE,TRUE,431,735,336,653,0.002753,10416352,54,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,8,0.0,5476,FALSE,TRUE,431,735,334,651,0.002753,10327204,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,9,0.0,5608,FALSE,TRUE,431,735,342,656,0.001639,13008936,55,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,9
