model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02,6220,FALSE,TRUE,87,33676,67,802,0.583057,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.03,6200,TRUE,TRUE,87,33676,67,762,0.581344,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.02,5936,FALSE,TRUE,87,33676,61,698,0.584567,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.01,3372,FALSE,TRUE,87,33676,1,1,0.53123,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.02,6008,FALSE,TRUE,87,33676,62,727,0.58285,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.06,7112,FALSE,FALSE,87,33676,64,731,0.581516,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.02,7260,FALSE,FALSE,87,33676,64,743,0.584754,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.02,6176,FALSE,TRUE,87,33676,64,761,0.58313,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.02,5936,FALSE,TRUE,87,33676,60,697,0.581885,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.02,7152,FALSE,FALSE,87,33676,61,698,0.582518,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.02,6204,TRUE,TRUE,87,33676,63,772,0.581095,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.01,5936,FALSE,TRUE,87,33676,60,697,0.580967,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.02,6212,FALSE,TRUE,87,33676,65,800,0.583655,192153601,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.02,7152,TRUE,FALSE,87,33676,62,699,0.580847,136500802,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.02,6076,TRUE,TRUE,87,33676,62,727,0.580575,136724802,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.05,5936,FALSE,TRUE,87,33676,61,698,0.582203,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.95,5972,TRUE,TRUE,431,735,349,662,0.001978,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.02,5592,TRUE,TRUE,431,735,334,651,0.002459,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.24,7484,FALSE,FALSE,431,735,334,651,0.002446,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
