model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02,6136,FALSE,TRUE,87,33676,67,750,66.5364,196788162,17,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.02,6000,TRUE,TRUE,87,33676,67,699,67.0999,300671362,18,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.05,5716,FALSE,TRUE,87,33676,61,626,65.8951,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.01,3416,FALSE,TRUE,87,33676,1,1,44.4015,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.02,5876,FALSE,TRUE,87,33676,62,655,66.3237,136889601,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.02,7040,FALSE,FALSE,87,33676,64,658,66.3387,230787202,21,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.02,7084,FALSE,FALSE,87,33676,64,681,66.0761,151310402,20,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.02,5976,FALSE,TRUE,87,33676,64,687,66.7191,282420601,22,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.03,5712,FALSE,TRUE,87,33676,60,625,66.5654,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.03,6936,FALSE,FALSE,87,33676,61,626,66.2949,126180801,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.01,5984,TRUE,TRUE,87,33676,63,699,66.5142,202334001,22,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.02,5712,FALSE,TRUE,87,33676,60,625,66.1401,115696001,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.09,6100,FALSE,TRUE,87,33676,65,738,66.2911,179705601,19,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.05,6976,TRUE,FALSE,87,33676,62,637,66.3333,126980802,22,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.01,5872,TRUE,TRUE,87,33676,62,655,65.9983,126404802,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.02,5756,FALSE,TRUE,87,33676,61,636,66.564,126980801,23,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ASLink-PT-01a,1,1.02,5948,TRUE,TRUE,431,735,349,662,1.47307,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.04,5572,TRUE,TRUE,431,735,334,651,1.90048,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.26,7464,FALSE,FALSE,431,735,334,651,1.90101,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,3.90,7660,FALSE,FALSE,431,735,334,651,1.89992,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.07,5516,FALSE,TRUE,431,735,334,651,1.90061,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.15,5516,FALSE,TRUE,431,735,336,652,1.90978,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.10,7528,FALSE,FALSE,431,735,336,653,1.92124,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.10,5576,TRUE,TRUE,431,735,340,657,1.95817,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.39,6940,FALSE,FALSE,431,735,334,651,1.89745,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.36,5512,TRUE,TRUE,431,735,336,653,1.91919,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.27,5516,FALSE,TRUE,431,735,336,652,1.90932,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.08,5800,TRUE,TRUE,431,735,346,659,1.46924,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.07,7528,FALSE,FALSE,431,735,334,651,1.90152,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.65,6024,TRUE,TRUE,431,735,337,654,1.92938,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.07,5516,FALSE,TRUE,431,735,335,652,1.91079,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.26,5592,FALSE,TRUE,431,735,343,657,1.45348,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,4.16,7608,FALSE,FALSE,846,1148,353,667,3.41777,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.13,7484,TRUE,FALSE,846,1148,343,660,4.41961,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.03,5788,FALSE,TRUE,846,1148,357,670,4.59915,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.19,5596,TRUE,TRUE,846,1148,348,663,4.4688,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.91,5728,FALSE,TRUE,846,1148,346,662,4.50613,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.12,7468,FALSE,FALSE,846,1148,353,667,4.52256,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.79,5864,TRUE,TRUE,846,1148,359,672,4.62123,136141919,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.09,6940,FALSE,FALSE,846,1148,352,667,4.53627,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,1.93,7480,FALSE,FALSE,846,1148,342,659,4.38066,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.20,5648,FALSE,TRUE,846,1148,346,663,4.45772,120316707,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.10,5524,TRUE,TRUE,846,1148,343,660,4.44943,37626327,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,2.94,7816,FALSE,FALSE,846,1148,348,663,4.52633,46020435,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.07,5592,TRUE,TRUE,846,1148,344,661,4.42534,37798253,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.41,6964,FALSE,FALSE,846,1148,346,662,4.44481,46715273,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.18,5820,TRUE,TRUE,846,1148,356,669,4.57192,93020822,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.09,5520,FALSE,TRUE,846,1148,341,658,4.38096,37441819,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,14.76,64896,FALSE,FALSE,626,1008,470,875,8.29039,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,2.04,8000,FALSE,FALSE,626,1008,468,874,8.253,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.08,7472,TRUE,FALSE,626,1008,468,874,8.19611,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,40.70,267644,TRUE,FALSE,626,1008,470,875,8.26327,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.04,7444,FALSE,FALSE,626,1008,479,881,6.23753,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.08,6228,FALSE,TRUE,626,1008,465,872,8.15185,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,300.06,1468164,NONE,FALSE,626,1008,478,882,8.36745,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.84,46732,FALSE,FALSE,626,1008,465,872,8.15449,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.12,6228,FALSE,TRUE,626,1008,465,872,8.16274,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.05,6288,TRUE,TRUE,626,1008,465,872,8.13518,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.10,7936,FALSE,FALSE,626,1008,465,872,8.18545,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.21,7936,FALSE,FALSE,626,1008,465,872,8.15313,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.05,6300,TRUE,TRUE,626,1008,467,874,8.2589,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.23,6444,FALSE,TRUE,626,1008,474,879,8.29089,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.13,8000,FALSE,FALSE,626,1008,467,874,8.19347,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.07,6304,FALSE,TRUE,626,1008,466,873,8.20055,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.17,8060,FALSE,FALSE,1242,1621,491,895,18.6752,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.23,6248,FALSE,TRUE,1242,1621,474,881,17.7645,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.14,7964,TRUE,FALSE,1242,1621,477,884,17.8404,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.81,10016,TRUE,FALSE,1242,1621,493,896,18.5989,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.03,7960,FALSE,FALSE,1242,1621,475,882,17.8982,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
