model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.31,6220,FALSE,TRUE,87,33676,67,802,0.611538,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.09,6124,TRUE,TRUE,87,33676,67,762,0.590795,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.16,5872,FALSE,TRUE,87,33676,61,698,0.591305,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.11,3372,FALSE,TRUE,87,33676,1,1,0.545008,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.13,6012,FALSE,TRUE,87,33676,62,727,0.594157,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.26,7056,FALSE,FALSE,87,33676,64,731,0.600606,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.12,7260,FALSE,FALSE,87,33676,64,743,0.601491,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.18,6176,FALSE,TRUE,87,33676,64,761,0.598233,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.18,5876,FALSE,TRUE,87,33676,60,697,0.598218,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.36,7148,FALSE,FALSE,87,33676,61,698,0.603407,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.47,6136,TRUE,TRUE,87,33676,63,772,0.590068,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.53,5876,FALSE,TRUE,87,33676,60,697,0.588475,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.78,6216,FALSE,TRUE,87,33676,65,800,0.591341,192153601,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.37,7148,TRUE,FALSE,87,33676,62,699,0.593547,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.30,6012,TRUE,TRUE,87,33676,62,727,0.592554,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.22,5932,FALSE,TRUE,87,33676,61,698,0.608275,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,3.81,6392,TRUE,TRUE,431,735,348,661,0.001676,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.51,5540,TRUE,TRUE,431,735,333,650,0.002787,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.58,7476,FALSE,FALSE,431,735,333,650,0.002803,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
