model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6232,FALSE,TRUE,87,33676,67,802,0.589912,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6208,TRUE,TRUE,87,33676,67,762,0.590975,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5944,FALSE,TRUE,87,33676,61,698,0.58839,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3384,FALSE,TRUE,87,33676,1,1,0.537085,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6024,FALSE,TRUE,87,33676,62,727,0.602355,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004213,7064,FALSE,FALSE,87,33676,64,731,0.591322,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003185,7272,FALSE,FALSE,87,33676,64,743,0.591079,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6188,FALSE,TRUE,87,33676,64,761,0.586753,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5948,FALSE,TRUE,87,33676,60,697,0.595121,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.00679,7164,FALSE,FALSE,87,33676,61,698,0.591231,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6212,TRUE,TRUE,87,33676,63,772,0.590038,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5944,FALSE,TRUE,87,33676,60,697,0.591375,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6228,FALSE,TRUE,87,33676,65,800,0.593662,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.001198,7164,TRUE,FALSE,87,33676,62,699,0.586375,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6020,TRUE,TRUE,87,33676,62,727,0.591216,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5944,FALSE,TRUE,87,33676,61,698,0.592396,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5988,TRUE,TRUE,431,735,349,662,0.002009,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5548,TRUE,TRUE,431,735,334,651,0.002483,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.014316,7500,FALSE,FALSE,431,735,334,651,0.002491,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.082051,7696,FALSE,FALSE,431,735,334,651,0.002482,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5488,FALSE,TRUE,431,735,334,651,0.00248,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5488,FALSE,TRUE,431,735,336,652,0.002507,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.001669,7560,FALSE,FALSE,431,735,336,653,0.002514,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5552,TRUE,TRUE,431,735,340,657,0.002504,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.001232,6972,FALSE,FALSE,431,735,334,651,0.002489,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5480,TRUE,TRUE,431,735,336,653,0.00249,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5488,FALSE,TRUE,431,735,336,652,0.002507,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5836,TRUE,TRUE,431,735,346,659,0.00197,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.001423,7556,FALSE,FALSE,431,735,334,651,0.002486,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6056,TRUE,TRUE,431,735,337,654,0.002485,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,5488,FALSE,TRUE,431,735,335,652,0.002495,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5628,FALSE,TRUE,431,735,343,657,0.00198,13046760,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.003062,7468,FALSE,FALSE,846,1148,353,667,0.002667,15277625,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.028457,7516,TRUE,FALSE,846,1148,343,660,0.003368,11100746,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,5824,FALSE,TRUE,846,1148,357,670,0.003405,27263197,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.0,5572,TRUE,TRUE,846,1148,348,663,0.003373,11143657,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5764,FALSE,TRUE,846,1148,346,662,0.00335,20134279,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.008504,7504,FALSE,FALSE,846,1148,353,667,0.003368,15637019,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5904,TRUE,TRUE,846,1148,359,672,0.003377,34295075,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.009027,6968,FALSE,FALSE,846,1148,352,667,0.00338,11309577,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.001539,7516,FALSE,FALSE,846,1148,342,659,0.003383,11288234,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5620,FALSE,TRUE,846,1148,346,663,0.003372,30447914,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5496,TRUE,TRUE,846,1148,343,660,0.003377,11099376,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.002028,7844,FALSE,FALSE,846,1148,348,663,0.00337,13472256,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
