model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6096,FALSE,TRUE,87,33676,67,750,2.26853,13728001,17,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6024,TRUE,TRUE,87,33676,67,699,2.19493,23232001,18,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5676,FALSE,TRUE,87,33676,61,626,2.10463,8800000,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3372,FALSE,TRUE,87,33676,1,1,0.544422,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,5836,FALSE,TRUE,87,33676,62,655,2.14552,9600000,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004165,7060,FALSE,FALSE,87,33676,64,658,2.15371,17600001,21,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.002963,7104,FALSE,FALSE,87,33676,64,681,2.16405,10400001,20,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,5992,FALSE,TRUE,87,33676,64,687,2.20292,21780000,22,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5672,FALSE,TRUE,87,33676,60,625,2.08108,8000000,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.016062,6956,FALSE,FALSE,87,33676,61,626,2.09548,8800000,23,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6004,TRUE,TRUE,87,33676,63,699,2.18842,14520000,22,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5672,FALSE,TRUE,87,33676,60,625,2.10082,8000000,24,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6056,FALSE,TRUE,87,33676,65,738,2.24636,12480000,19,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0012,6996,TRUE,FALSE,87,33676,62,637,2.11259,8800001,22,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,5900,TRUE,TRUE,87,33676,62,655,2.13644,8800001,22,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5776,FALSE,TRUE,87,33676,61,636,2.10545,8800000,23,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,0
ASLink-PT-01a,1,0.0,5972,TRUE,TRUE,431,735,349,662,0.053851,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,334,651,0.073309,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.014107,7488,FALSE,FALSE,431,735,334,651,0.070109,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.080221,7684,FALSE,FALSE,431,735,334,651,0.070031,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5476,FALSE,TRUE,431,735,334,651,0.070127,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5476,FALSE,TRUE,431,735,336,652,0.070477,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.001682,7548,FALSE,FALSE,431,735,336,653,0.070626,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5604,TRUE,TRUE,431,735,340,657,0.071455,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.001197,6960,FALSE,FALSE,431,735,334,651,0.070436,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5532,TRUE,TRUE,431,735,336,653,0.070901,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5476,FALSE,TRUE,431,735,336,652,0.070583,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5820,TRUE,TRUE,431,735,346,659,0.05348,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.001448,7544,FALSE,FALSE,431,735,334,651,0.070226,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6048,TRUE,TRUE,431,735,337,654,0.070907,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,5476,FALSE,TRUE,431,735,335,652,0.070398,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5612,FALSE,TRUE,431,735,343,657,0.054851,13046760,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.002863,7488,FALSE,FALSE,846,1148,353,667,0.05906,15277625,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.027931,7504,TRUE,FALSE,846,1148,343,660,0.077497,11100746,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,5812,FALSE,TRUE,846,1148,357,670,0.078714,27263197,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.0,5620,TRUE,TRUE,846,1148,348,663,0.077761,11143657,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5752,FALSE,TRUE,846,1148,346,662,0.077245,20134279,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.008288,7488,FALSE,FALSE,846,1148,353,667,0.078871,15637019,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5892,TRUE,TRUE,846,1148,359,672,0.082582,34295075,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.008848,6956,FALSE,FALSE,846,1148,352,667,0.078926,11309577,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.001471,7500,FALSE,FALSE,846,1148,342,659,0.077315,11288234,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5608,FALSE,TRUE,846,1148,346,663,0.078871,30447914,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5548,TRUE,TRUE,846,1148,343,660,0.082407,11099376,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.002155,7888,FALSE,FALSE,846,1148,348,663,0.078074,13472256,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5612,TRUE,TRUE,846,1148,344,661,0.078038,11133992,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
