model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6072,FALSE,TRUE,87,33676,67,750,2.31571,13728001,0,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.0,5996,TRUE,TRUE,87,33676,67,699,2.21367,23232001,0,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.0,5652,FALSE,TRUE,87,33676,61,626,2.11772,8800000,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.0,3348,FALSE,TRUE,87,33676,1,1,0.535237,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,5812,FALSE,TRUE,87,33676,62,655,2.17091,9600000,1,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.004282,7036,FALSE,FALSE,87,33676,64,658,2.19627,17600001,0,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.003122,7080,FALSE,FALSE,87,33676,64,681,2.19294,10400001,0,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.0,5968,FALSE,TRUE,87,33676,64,687,2.20489,21780000,1,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.0,5652,FALSE,TRUE,87,33676,60,625,2.13057,8000000,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.016205,6932,FALSE,FALSE,87,33676,61,626,2.13168,8800000,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,5984,TRUE,TRUE,87,33676,63,699,2.22981,14520000,1,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,5648,FALSE,TRUE,87,33676,60,625,2.10636,8000000,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,6036,FALSE,TRUE,87,33676,65,738,2.26534,12480000,1,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.001294,6972,TRUE,FALSE,87,33676,62,637,2.13613,8800001,0,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,5876,TRUE,TRUE,87,33676,62,655,2.16118,8800001,0,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,593
