model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6220,FALSE,TRUE,87,33676,67,802,0.581223,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6200,TRUE,TRUE,87,33676,67,762,0.579661,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5932,FALSE,TRUE,87,33676,61,698,0.579266,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3372,FALSE,TRUE,87,33676,1,1,0.533545,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6012,FALSE,TRUE,87,33676,62,727,0.582112,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004384,7056,FALSE,FALSE,87,33676,64,731,0.580566,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003133,7260,FALSE,FALSE,87,33676,64,743,0.582619,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6176,FALSE,TRUE,87,33676,64,761,0.580088,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5940,FALSE,TRUE,87,33676,60,697,0.583205,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.006693,7152,FALSE,FALSE,87,33676,61,698,0.583463,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6200,TRUE,TRUE,87,33676,63,772,0.580731,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5940,FALSE,TRUE,87,33676,60,697,0.591152,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,65,800,0.584425,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.001205,7152,TRUE,FALSE,87,33676,62,699,0.580488,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6076,TRUE,TRUE,87,33676,62,727,0.581751,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5940,FALSE,TRUE,87,33676,61,698,0.580021,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5976,TRUE,TRUE,431,735,349,662,0.002286,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,334,651,0.002833,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.014067,7488,FALSE,FALSE,431,735,334,651,0.002842,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.080087,7680,FALSE,FALSE,431,735,334,651,0.002847,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5476,FALSE,TRUE,431,735,334,651,0.00284,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5476,FALSE,TRUE,431,735,336,652,0.002834,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.001707,7548,FALSE,FALSE,431,735,336,653,0.002837,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5600,TRUE,TRUE,431,735,340,657,0.002845,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.00118,6960,FALSE,FALSE,431,735,334,651,0.002873,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5532,TRUE,TRUE,431,735,336,653,0.002878,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5476,FALSE,TRUE,431,735,336,652,0.002828,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
