model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6192,FALSE,TRUE,87,33676,67,802,0.579359,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6160,TRUE,TRUE,87,33676,67,762,0.578824,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5916,FALSE,TRUE,87,33676,61,698,0.580358,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3348,FALSE,TRUE,87,33676,1,1,0.533081,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,5984,FALSE,TRUE,87,33676,62,727,0.583948,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004341,7080,FALSE,FALSE,87,33676,64,731,0.585406,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003237,7236,FALSE,FALSE,87,33676,64,743,0.588512,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6148,FALSE,TRUE,87,33676,64,761,0.579693,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5920,FALSE,TRUE,87,33676,60,697,0.579428,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.006803,7124,FALSE,FALSE,87,33676,61,698,0.581082,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6180,TRUE,TRUE,87,33676,63,772,0.58088,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5916,FALSE,TRUE,87,33676,60,697,0.582665,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6184,FALSE,TRUE,87,33676,65,800,0.584559,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0012,7124,TRUE,FALSE,87,33676,62,699,0.582279,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6048,TRUE,TRUE,87,33676,62,727,0.580997,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5916,FALSE,TRUE,87,33676,61,698,0.582511,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5948,TRUE,TRUE,431,735,349,662,0.00219,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5572,TRUE,TRUE,431,735,334,651,0.002691,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.013847,7460,FALSE,FALSE,431,735,334,651,0.002732,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.081068,7496,FALSE,FALSE,431,735,334,651,0.002719,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5448,FALSE,TRUE,431,735,334,651,0.002707,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5448,FALSE,TRUE,431,735,336,652,0.002724,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.001747,7520,FALSE,FALSE,431,735,336,653,0.002732,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5576,TRUE,TRUE,431,735,340,657,0.002726,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.001212,6932,FALSE,FALSE,431,735,334,651,0.00273,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5508,TRUE,TRUE,431,735,336,653,0.002747,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5448,FALSE,TRUE,431,735,336,652,0.002726,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5796,TRUE,TRUE,431,735,346,659,0.002168,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.00144,7516,FALSE,FALSE,431,735,334,651,0.00271,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6020,TRUE,TRUE,431,735,337,654,0.002738,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,5448,FALSE,TRUE,431,735,335,652,0.002717,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5588,FALSE,TRUE,431,735,343,657,0.002141,13046760,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.00275,7600,FALSE,FALSE,846,1148,353,667,0.002846,15277625,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.02754,7476,TRUE,FALSE,846,1148,343,660,0.003642,11100746,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,5784,FALSE,TRUE,846,1148,357,670,0.003639,27263197,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.0,5596,TRUE,TRUE,846,1148,348,663,0.003585,11143657,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5724,FALSE,TRUE,846,1148,346,662,0.003596,20134279,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.008121,7460,FALSE,FALSE,846,1148,353,667,0.003598,15637019,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5864,TRUE,TRUE,846,1148,359,672,0.003614,34295075,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.008646,6932,FALSE,FALSE,846,1148,352,667,0.003648,11309577,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.001453,7472,FALSE,FALSE,846,1148,342,659,0.003586,11288234,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5580,FALSE,TRUE,846,1148,346,663,0.003581,30447914,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5520,TRUE,TRUE,846,1148,343,660,0.003608,11099376,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.002035,7860,FALSE,FALSE,846,1148,348,663,0.003611,13472256,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5588,TRUE,TRUE,846,1148,344,661,0.003582,11133992,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.001333,6956,FALSE,FALSE,846,1148,346,662,0.00361,13002216,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,5812,TRUE,TRUE,846,1148,356,669,0.003634,25926648,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,5516,FALSE,TRUE,846,1148,341,658,0.003594,11042312,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,13.6441,64888,FALSE,FALSE,626,1008,470,875,0.003627,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.01068,7992,FALSE,FALSE,626,1008,468,874,0.003596,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.008096,7468,TRUE,FALSE,626,1008,468,874,0.0036,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,38.9514,267680,TRUE,FALSE,626,1008,470,875,0.003583,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.013412,7436,FALSE,FALSE,626,1008,479,881,0.002872,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6156,FALSE,TRUE,626,1008,465,872,0.003583,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,1515524,NONE,FALSE,626,1008,478,882,0.003572,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.26745,46756,FALSE,FALSE,626,1008,465,872,0.003602,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6160,FALSE,TRUE,626,1008,465,872,0.003597,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,6284,TRUE,TRUE,626,1008,465,872,0.003588,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.001251,7928,FALSE,FALSE,626,1008,465,872,0.003586,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001328,7928,FALSE,FALSE,626,1008,465,872,0.003576,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,6296,TRUE,TRUE,626,1008,467,874,0.003575,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6444,FALSE,TRUE,626,1008,474,879,0.003574,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.010778,7992,FALSE,FALSE,626,1008,467,874,0.003571,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,6304,FALSE,TRUE,626,1008,466,873,0.003619,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
