model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,1.35,6264,FALSE,TRUE,87,33676,67,802,0.589378,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.28,6240,TRUE,TRUE,87,33676,67,762,0.587653,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.30,5976,FALSE,TRUE,87,33676,61,698,0.588712,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.15,3424,FALSE,TRUE,87,33676,1,1,0.538609,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.31,6060,FALSE,TRUE,87,33676,62,727,0.590205,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.25,7080,FALSE,FALSE,87,33676,64,731,0.588021,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.16,7288,FALSE,FALSE,87,33676,64,743,0.589863,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.59,6224,FALSE,TRUE,87,33676,64,761,0.588198,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.17,5980,FALSE,TRUE,87,33676,60,697,0.590901,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.15,7180,FALSE,FALSE,87,33676,61,698,0.588346,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.25,6244,TRUE,TRUE,87,33676,63,772,0.591768,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.32,5980,FALSE,TRUE,87,33676,60,697,0.589958,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.26,6260,FALSE,TRUE,87,33676,65,800,0.59347,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.07,7180,TRUE,FALSE,87,33676,62,699,0.590404,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.06,6056,TRUE,TRUE,87,33676,62,727,0.590605,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.03,5976,FALSE,TRUE,87,33676,61,698,0.589986,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.77,5900,TRUE,TRUE,431,735,348,661,0.00275,13146186,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,10,0.16,5596,TRUE,TRUE,431,735,333,650,0.003216,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,11,0.58,8144,FALSE,FALSE,431,735,333,650,0.003225,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,12,4.08,7584,FALSE,FALSE,431,735,334,651,0.002691,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.16,5520,FALSE,TRUE,431,735,333,650,0.003229,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,14,0.15,5524,FALSE,TRUE,431,735,335,651,0.003209,12082239,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,15,0.18,7604,FALSE,FALSE,431,735,335,652,0.003229,10637016,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,16,0.09,5592,TRUE,TRUE,431,735,339,656,0.003232,10519513,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,2,5.57,8072,FALSE,FALSE,431,735,333,650,0.003214,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,3,0.13,5524,TRUE,TRUE,431,735,335,652,0.00324,10354747,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,4,0.07,5524,FALSE,TRUE,431,735,335,651,0.003204,10349035,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,5,1.41,5852,TRUE,TRUE,431,735,345,658,0.002691,13646810,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,6,0.14,7596,FALSE,FALSE,431,735,333,650,0.003221,10297735,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,7,3.14,6016,TRUE,TRUE,431,735,336,653,0.003259,10416352,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,8,0.12,5536,FALSE,TRUE,431,735,334,651,0.003252,10327204,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,9,0.03,5664,FALSE,TRUE,431,735,342,656,0.002681,13008936,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01b,1,7.47,7772,FALSE,FALSE,846,1148,346,720,0.003755,14632316,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,27
ASLink-PT-01b,10,0.14,7576,TRUE,FALSE,846,1148,337,664,0.004361,10680871,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,16
ASLink-PT-01b,11,0.14,5876,FALSE,TRUE,846,1148,351,674,0.004425,26284709,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,16
ASLink-PT-01b,12,0.16,5796,TRUE,TRUE,846,1148,342,667,0.004327,10696654,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,16
ASLink-PT-01b,13,1.75,5888,FALSE,TRUE,846,1148,339,665,0.004362,19310459,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,14,0.19,7552,FALSE,FALSE,846,1148,347,671,0.004325,15052029,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,16
ASLink-PT-01b,15,1.67,6000,TRUE,TRUE,846,1148,352,675,0.004346,33022895,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,16,0.24,7024,FALSE,FALSE,846,1148,346,671,0.004351,10856596,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,16
ASLink-PT-01b,2,0.27,7572,FALSE,FALSE,846,1148,335,662,0.004294,10838535,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,3,0.10,5788,FALSE,TRUE,846,1148,339,666,0.004351,29097511,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,4,0.03,5552,TRUE,TRUE,846,1148,336,663,0.004312,10649625,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,5,1.66,7540,FALSE,FALSE,846,1148,341,666,0.00434,12910601,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,6,0.07,5616,TRUE,TRUE,846,1148,337,664,0.004304,10681607,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,7,0.17,7576,FALSE,FALSE,846,1148,339,665,0.004377,12548565,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,8,0.08,5872,TRUE,TRUE,846,1148,349,672,0.004388,24881203,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,9,0.07,5664,FALSE,TRUE,846,1148,334,661,0.004346,10592613,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-02a,1,33.61,145960,FALSE,FALSE,626,1008,469,874,0.004423,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,10,0.56,8084,FALSE,FALSE,626,1008,467,873,0.004311,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,11,0.33,8080,TRUE,FALSE,626,1008,467,873,0.004306,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,12,34.81,241992,TRUE,FALSE,626,1008,469,874,0.004336,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,13,0.27,6996,FALSE,FALSE,626,1008,478,880,0.003602,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,14,0.08,6264,FALSE,TRUE,626,1008,464,871,0.004303,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,15,300.05,1299260,NONE,FALSE,626,1008,477,881,0.004257,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,16,9.73,46740,FALSE,FALSE,626,1008,464,871,0.00432,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,2,0.29,6264,FALSE,TRUE,626,1008,464,871,0.004312,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,3,0.15,6308,TRUE,TRUE,626,1008,464,871,0.004356,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,4,0.20,7484,FALSE,FALSE,626,1008,464,871,0.004292,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,5,0.20,7484,FALSE,FALSE,626,1008,464,871,0.004265,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,6,0.19,6392,TRUE,TRUE,626,1008,466,873,0.004307,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,7,10.26,7180,FALSE,TRUE,626,1008,473,878,0.004266,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,8,1.39,7544,FALSE,FALSE,626,1008,466,873,0.004304,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02a,9,0.08,6376,FALSE,TRUE,626,1008,465,872,0.004383,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-02b,1,0.24,7580,FALSE,FALSE,1242,1621,485,889,0.006102,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-02b,10,0.03,6268,FALSE,TRUE,1242,1621,466,883,0.005934,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,11,1.25,8052,TRUE,FALSE,1242,1621,469,886,0.005975,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,12,2.69,8400,TRUE,FALSE,1242,1621,485,898,0.006032,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,13,0.22,7512,FALSE,FALSE,1242,1621,467,884,0.005956,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,14,0.06,6376,TRUE,TRUE,1242,1621,486,899,0.006031,0,690,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-02b,15,2.26,8236,TRUE,FALSE,1242,1621,479,893,0.005939,0,690,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,16,0.10,7512,TRUE,FALSE,1242,1621,467,884,0.005972,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,2,0.16,6348,TRUE,TRUE,1242,1621,474,890,0.006008,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,18
ASLink-PT-02b,3,7.82,11492,TRUE,FALSE,1242,1621,492,904,0.005994,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-02b,4,0.19,7056,FALSE,FALSE,1242,1621,472,889,0.005967,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,17
