model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6220,FALSE,TRUE,87,33676,67,802,0.586251,13728001,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.0,6200,TRUE,TRUE,87,33676,67,762,0.586098,23232001,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.0,5940,FALSE,TRUE,87,33676,61,698,0.578442,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.0,3372,FALSE,TRUE,87,33676,1,1,0.530259,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6008,FALSE,TRUE,87,33676,62,727,0.583014,9600000,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.0,7052,FALSE,FALSE,87,33676,64,731,0.576189,17600001,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.0,7260,FALSE,FALSE,87,33676,64,743,0.576838,10400001,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.0,6176,FALSE,TRUE,87,33676,64,761,0.580045,21780000,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.0,5940,FALSE,TRUE,87,33676,60,697,0.579755,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.0,7152,FALSE,FALSE,87,33676,61,698,0.577529,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,6200,TRUE,TRUE,87,33676,63,772,0.590474,14520000,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,5940,FALSE,TRUE,87,33676,60,697,0.57872,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,6216,FALSE,TRUE,87,33676,65,800,0.57939,12480000,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.0,7152,TRUE,FALSE,87,33676,62,699,0.577824,8800001,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,6072,TRUE,TRUE,87,33676,62,727,0.578724,8800001,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.0,5936,FALSE,TRUE,87,33676,61,698,0.57982,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,0.0,6384,TRUE,TRUE,431,735,348,661,0.001664,13146186,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,333,650,0.00273,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
