model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.28,6220,FALSE,TRUE,87,33676,67,802,0.583179,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.10,6200,TRUE,TRUE,87,33676,67,762,0.580528,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.11,5940,FALSE,TRUE,87,33676,61,698,0.586916,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.32,3368,FALSE,TRUE,87,33676,1,1,0.533228,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.49,6008,FALSE,TRUE,87,33676,62,727,0.584424,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.97,7052,FALSE,FALSE,87,33676,64,731,0.580607,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.07,7264,FALSE,FALSE,87,33676,64,743,0.581835,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.27,6172,FALSE,TRUE,87,33676,64,761,0.582601,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.55,5936,FALSE,TRUE,87,33676,60,697,0.580987,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.81,7152,FALSE,FALSE,87,33676,61,698,0.579346,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.38,6200,TRUE,TRUE,87,33676,63,772,0.582923,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,1.06,5936,FALSE,TRUE,87,33676,60,697,0.58309,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,1.47,6216,FALSE,TRUE,87,33676,65,800,0.584509,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.12,7152,TRUE,FALSE,87,33676,62,699,0.582563,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.09,6072,TRUE,TRUE,87,33676,62,727,0.583721,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.04,5936,FALSE,TRUE,87,33676,61,698,0.582316,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,1.02,5976,TRUE,TRUE,431,735,349,662,0.002187,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.38,5600,TRUE,TRUE,431,735,334,651,0.002708,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.84,7488,FALSE,FALSE,431,735,334,651,0.0027,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,4.06,7684,FALSE,FALSE,431,735,334,651,0.002716,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.33,5476,FALSE,TRUE,431,735,334,651,0.002689,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,1.01,5476,FALSE,TRUE,431,735,336,652,0.002688,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.15,7548,FALSE,FALSE,431,735,336,653,0.002707,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.07,5600,TRUE,TRUE,431,735,340,657,0.00273,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.37,6960,FALSE,FALSE,431,735,334,651,0.0027,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.03,5532,TRUE,TRUE,431,735,336,653,0.002718,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.03,5476,FALSE,TRUE,431,735,336,652,0.0027,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.09,5824,TRUE,TRUE,431,735,346,659,0.002143,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.15,7544,FALSE,FALSE,431,735,334,651,0.002712,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
