model name,query index,verifcation time,verifcation memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0,0,NONE,FALSE,87,33676,87,33646,303.763,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0,0,NONE,FALSE,87,33676,87,33646,303.596,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0,0,NONE,FALSE,87,33676,86,33647,303.614,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0,0,NONE,FALSE,87,33676,87,33646,308.077,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0,0,NONE,FALSE,87,33676,86,33647,303.63,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0,0,NONE,FALSE,87,33676,87,33646,303.603,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0,0,NONE,FALSE,87,33676,87,33646,303.603,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0,0,NONE,FALSE,87,33676,86,33647,303.563,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0,0,NONE,FALSE,87,33676,86,33647,303.634,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0,0,NONE,FALSE,87,33676,86,33647,303.628,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0,0,NONE,FALSE,87,33676,86,33647,303.566,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0,0,NONE,FALSE,87,33676,86,33647,303.637,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0,0,NONE,FALSE,87,33676,86,33647,303.524,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0,0,NONE,FALSE,87,33676,87,33646,304.171,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0,0,NONE,FALSE,87,33676,87,33646,303.594,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0,0,NONE,FALSE,87,33676,86,33647,303.606,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0,0,NONE,FALSE,431,735,349,662,0.240827,0,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0,0,NONE,FALSE,431,735,334,651,0.285243,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0,0,NONE,FALSE,431,735,334,651,0.284968,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0,0,NONE,FALSE,431,735,334,651,0.285188,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0,0,NONE,FALSE,431,735,334,651,0.285715,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0,0,NONE,FALSE,431,735,336,652,0.2819,0,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0,0,NONE,FALSE,431,735,336,653,0.28186,0,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0,0,NONE,FALSE,431,735,340,657,0.271143,0,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0,0,NONE,FALSE,431,735,334,651,0.285499,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0,0,NONE,FALSE,431,735,336,653,0.280303,0,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0,0,NONE,FALSE,431,735,336,652,0.282008,0,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0,0,NONE,FALSE,431,735,346,659,0.247831,0,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0,0,NONE,FALSE,431,735,334,651,0.285483,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0,0,NONE,FALSE,431,735,337,654,0.278063,0,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0,0,NONE,FALSE,431,735,335,652,0.282998,0,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0,0,NONE,FALSE,431,735,343,657,0.253805,0,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0,0,NONE,FALSE,846,1148,353,667,1.51867,0,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0,0,NONE,FALSE,846,1148,343,660,1.55985,0,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0,0,NONE,FALSE,846,1148,357,670,1.5279,0,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0,0,NONE,FALSE,846,1148,348,663,1.54771,0,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0,0,NONE,FALSE,846,1148,346,662,1.55375,0,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0,0,NONE,FALSE,846,1148,353,667,1.53747,0,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0,0,NONE,FALSE,846,1148,359,672,1.52304,0,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0,0,NONE,FALSE,846,1148,352,667,1.53868,0,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0,0,NONE,FALSE,846,1148,342,659,1.56603,0,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0,0,NONE,FALSE,846,1148,346,663,1.55419,0,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0,0,NONE,FALSE,846,1148,343,660,1.55942,0,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0,0,NONE,FALSE,846,1148,348,663,1.54763,0,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0,0,NONE,FALSE,846,1148,344,661,1.55469,0,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0,0,NONE,FALSE,846,1148,346,662,1.55464,0,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0,0,NONE,FALSE,846,1148,356,669,1.52872,0,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0,0,NONE,FALSE,846,1148,341,658,1.56581,0,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0,0,NONE,FALSE,626,1008,470,875,0.567976,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0,0,NONE,FALSE,626,1008,468,874,0.57242,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0,0,NONE,FALSE,626,1008,468,874,0.572819,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0,0,NONE,FALSE,626,1008,470,875,0.568209,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0,0,NONE,FALSE,626,1008,479,881,0.52633,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0,0,NONE,FALSE,626,1008,465,872,0.580066,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0,0,NONE,FALSE,626,1008,478,882,0.542183,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0,0,NONE,FALSE,626,1008,465,872,0.580705,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
