model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,300.06,1733452,NONE,FALSE,87,33676,86,11723,133.915,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,10,0.45,62868,FALSE,FALSE,87,33676,86,11724,133.625,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,11,300.03,947400,NONE,FALSE,87,33676,86,11722,133.687,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,12,0.01,3288,FALSE,TRUE,87,33676,1,1,87.2939,2,0,0,0,21802,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,300.05,1450908,NONE,FALSE,87,33676,86,11722,133.657,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,14,300.05,1434588,NONE,FALSE,87,33676,86,11724,132.919,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,15,0.31,63796,FALSE,FALSE,87,33676,86,11723,133.389,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,16,0.53,63412,TRUE,FALSE,87,33676,86,11724,133.396,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,2,300.08,1775616,NONE,FALSE,87,33676,86,11722,134.075,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,3,300.03,947500,NONE,FALSE,87,33676,86,11722,133.61,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,4,300.07,1651380,NONE,FALSE,87,33676,86,11723,133.626,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,5,300.04,946704,NONE,FALSE,87,33676,86,11722,133.618,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,6,300.07,1614772,NONE,FALSE,87,33676,86,11722,133.633,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,7,300.06,1394292,NONE,FALSE,87,33676,86,11723,133.593,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,8,300.05,1119516,NONE,FALSE,87,33676,86,11722,133.637,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ARMCacheCoherence-PT-none,9,300.04,946832,NONE,FALSE,87,33676,86,11722,133.622,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,106,0
ASLink-PT-01a,1,4.55,7472,FALSE,FALSE,431,735,359,672,1.84274,0,47,4,12,6,0,0,0,0,1,0,0,0,1,0,0,7,0
ASLink-PT-01a,10,300.04,1274864,NONE,FALSE,431,735,353,667,1.81987,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,7,0
ASLink-PT-01a,11,300.11,2293776,NONE,FALSE,431,735,353,667,1.81818,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,7,0
ASLink-PT-01a,12,300.10,2060300,NONE,FALSE,431,735,353,667,1.81028,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,7,0
ASLink-PT-01a,13,300.03,850664,NONE,FALSE,431,735,353,667,1.8015,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,7,0
ASLink-PT-01a,14,0.02,5588,FALSE,TRUE,431,735,355,668,1.80146,0,48,6,13,7,0,0,0,0,1,0,0,0,1,0,0,7,0
