"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M"
"ARMCacheCoherence-PT-none","1","300.00","139488","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","10","300.00","139376","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","11","300.00","138316","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","12","88.19","137512","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","13","300.00","137888","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","14","91.92","138116","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","15","91.22","137516","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","16","300.00","137096","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","2","300.00","137812","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","3","95.40","138672","FALSE","FALSE","87","33676","86","33673","1","0","0","2","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","4","300.00","136500","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","5","300.00","137328","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","6","300.00","138552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","7","97.87","137604","TRUE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","8","300.00","137632","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","9","300.00","138220","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","1","300.01","224844","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","10","300.00","123060","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","11","0.46","7312","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","12","1.03","7312","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","13","300.00","185216","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","14","199.44","110036","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","15","0.37","7576","FALSE","FALSE","431","735","336","653","68","13","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","16","300.01","165108","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","2","0.36","7316","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","3","300.01","186888","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","4","199.47","109348","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","5","300.01","183596","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","6","0.35","7576","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","7","217.32","121280","TRUE","FALSE","431","735","337","654","66","18","19","8","0","2","0","0","0","0","0","0","0"
"ASLink-PT-01a","8","300.01","185444","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
