model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.03,6220,FALSE,TRUE,87,33676,67,802,0.582299,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.07,6200,TRUE,TRUE,87,33676,67,762,0.579868,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.07,5940,FALSE,TRUE,87,33676,61,698,0.582859,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.20,3372,FALSE,TRUE,87,33676,1,1,0.530417,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.06,6008,FALSE,TRUE,87,33676,62,727,0.582902,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.07,7108,FALSE,FALSE,87,33676,64,731,0.576108,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.14,7260,FALSE,FALSE,87,33676,64,743,0.580832,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.06,6172,FALSE,TRUE,87,33676,64,761,0.57805,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.09,5936,FALSE,TRUE,87,33676,60,697,0.580461,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.10,7152,FALSE,FALSE,87,33676,61,698,0.581317,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.07,6200,TRUE,TRUE,87,33676,63,772,0.582336,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.17,5940,FALSE,TRUE,87,33676,60,697,0.599861,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.11,6212,FALSE,TRUE,87,33676,65,800,0.592467,192153601,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.06,7152,TRUE,FALSE,87,33676,62,699,0.591215,136500802,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.08,6076,TRUE,TRUE,87,33676,62,727,0.586665,136724802,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.12,5936,FALSE,TRUE,87,33676,61,698,0.580117,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.98,5976,TRUE,TRUE,431,735,349,662,0.002047,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.14,5596,TRUE,TRUE,431,735,334,651,0.00251,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.20,7488,FALSE,FALSE,431,735,334,651,0.002511,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,3.86,7688,FALSE,FALSE,431,735,334,651,0.002531,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.08,5476,FALSE,TRUE,431,735,334,651,0.002505,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.05,5476,FALSE,TRUE,431,735,336,652,0.002536,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.11,7548,FALSE,FALSE,431,735,336,653,0.002546,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.13,5604,TRUE,TRUE,431,735,340,657,0.002527,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.41,6960,FALSE,FALSE,431,735,334,651,0.002513,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.07,5532,TRUE,TRUE,431,735,336,653,0.00259,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.06,5476,FALSE,TRUE,431,735,336,652,0.00258,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.10,5824,TRUE,TRUE,431,735,346,659,0.002013,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.09,7544,FALSE,FALSE,431,735,334,651,0.002501,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.53,6044,TRUE,TRUE,431,735,337,654,0.002511,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.02,5476,FALSE,TRUE,431,735,335,652,0.002505,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.02,5612,FALSE,TRUE,431,735,343,657,0.002019,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,4.05,7488,FALSE,FALSE,846,1148,353,667,0.002632,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.19,7504,TRUE,FALSE,846,1148,343,660,0.003305,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.14,5812,FALSE,TRUE,846,1148,357,670,0.003379,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.11,5620,TRUE,TRUE,846,1148,348,663,0.003316,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.92,5748,FALSE,TRUE,846,1148,346,662,0.003301,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.15,7488,FALSE,FALSE,846,1148,353,667,0.003301,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.79,5892,TRUE,TRUE,846,1148,359,672,0.003329,0,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.12,6960,FALSE,FALSE,846,1148,352,667,0.003337,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,2.00,7500,FALSE,FALSE,846,1148,342,659,0.003363,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.11,5608,FALSE,TRUE,846,1148,346,663,0.003337,120316707,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.03,5548,TRUE,TRUE,846,1148,343,660,0.003347,37626327,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,2.82,7832,FALSE,FALSE,846,1148,348,663,0.003292,46020435,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.02,5612,TRUE,TRUE,846,1148,344,661,0.003315,37798253,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.02,6984,FALSE,FALSE,846,1148,346,662,0.00333,46715273,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.03,5844,TRUE,TRUE,846,1148,356,669,0.003318,93020822,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.01,5544,FALSE,TRUE,846,1148,341,658,0.003304,37441819,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,14.19,64928,FALSE,FALSE,626,1008,470,875,0.003293,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,1.99,8020,FALSE,FALSE,626,1008,468,874,0.003301,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.04,7492,TRUE,FALSE,626,1008,468,874,0.003333,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,39.51,267492,TRUE,FALSE,626,1008,470,875,0.003318,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.04,7464,FALSE,FALSE,626,1008,479,881,0.002627,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.09,6188,FALSE,TRUE,626,1008,465,872,0.003314,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,300.06,1490356,NONE,FALSE,626,1008,478,882,0.003264,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,9.77,46780,FALSE,FALSE,626,1008,465,872,0.003271,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.13,6188,FALSE,TRUE,626,1008,465,872,0.003268,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.11,6312,TRUE,TRUE,626,1008,465,872,0.003283,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.11,7956,FALSE,FALSE,626,1008,465,872,0.003267,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.05,7960,FALSE,FALSE,626,1008,465,872,0.003275,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.09,6324,TRUE,TRUE,626,1008,467,874,0.003325,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.20,6472,FALSE,TRUE,626,1008,474,879,0.003265,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.11,8020,FALSE,FALSE,626,1008,467,874,0.003312,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.08,6328,FALSE,TRUE,626,1008,466,873,0.003319,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.15,8080,FALSE,FALSE,1242,1621,491,895,0.004623,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.03,6208,FALSE,TRUE,1242,1621,474,881,0.004549,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.23,7988,TRUE,FALSE,1242,1621,477,884,0.004591,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.87,10036,TRUE,FALSE,1242,1621,493,896,0.004607,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
