model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.13,6088,FALSE,TRUE,87,33676,67,750,132.35,196788162,0,0,0,32831,0,0,17,3,1,0,0,52,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.14,5972,TRUE,TRUE,87,33676,67,699,131.578,300671362,0,0,0,32873,0,0,17,2,1,0,0,63,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.33,5668,FALSE,TRUE,87,33676,61,626,131.043,126180801,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.02,3368,FALSE,TRUE,87,33676,1,1,87.9808,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.14,5828,FALSE,TRUE,87,33676,62,655,132.098,136889601,1,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.04,6992,FALSE,FALSE,87,33676,64,658,131.654,230787202,0,0,0,32901,0,0,17,2,1,0,0,73,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.12,7036,FALSE,FALSE,87,33676,64,681,131.53,151310402,0,0,0,32887,0,0,17,3,1,0,0,62,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.21,5976,FALSE,TRUE,87,33676,64,687,132.22,282420601,1,0,0,32873,0,0,17,1,1,0,0,74,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.12,5664,FALSE,TRUE,87,33676,60,625,131.296,115696001,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.06,6888,FALSE,FALSE,87,33676,61,626,131.604,126180801,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.09,5980,TRUE,TRUE,87,33676,63,699,131.738,202334001,1,0,0,32859,0,0,17,2,1,0,0,73,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.02,5664,FALSE,TRUE,87,33676,60,625,132.12,115696001,1,0,0,32929,0,0,17,3,1,0,0,72,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.03,6052,FALSE,TRUE,87,33676,65,738,131.482,179705601,1,0,0,32831,0,0,17,3,1,0,0,62,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.04,6932,TRUE,FALSE,87,33676,62,637,132.019,126980802,0,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.04,5828,TRUE,TRUE,87,33676,62,655,131.76,126404802,0,0,0,32901,0,0,17,3,1,0,0,72,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.03,5704,FALSE,TRUE,87,33676,61,636,131.838,126980801,1,0,0,32929,0,0,17,3,1,0,0,62,0,0,0,0,647
ASLink-PT-01a,1,3.88,6320,TRUE,TRUE,431,735,348,661,1.76263,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.06,5532,TRUE,TRUE,431,735,333,650,3.42402,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.18,7420,FALSE,FALSE,431,735,333,650,3.4316,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,3.61,7880,FALSE,FALSE,431,735,334,651,3.42345,35136997,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.14,5456,FALSE,TRUE,431,735,333,650,3.4179,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.25,5456,FALSE,TRUE,431,735,335,651,3.41143,41723891,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.07,7476,FALSE,FALSE,431,735,335,652,3.43622,36411410,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
