model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.01,3412,FALSE,TRUE,87,33676,6,0,65.6478,1,6,0,1,32425,21,52,16,3,1,0,0,1169,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.00,3412,TRUE,TRUE,87,33676,7,0,65.5071,1,4,0,1,32425,23,52,16,2,1,0,0,1176,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.00,3356,FALSE,TRUE,87,33676,1,0,65.598,1,7,0,0,32425,22,48,24,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.00,3412,FALSE,TRUE,87,33676,1,1,44.0424,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.06,3412,FALSE,TRUE,87,33676,5,0,65.7727,1,7,0,0,32425,22,48,24,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.02,3412,TRUE,TRUE,87,33676,3,0,65.7393,1,4,0,1,32425,31,48,16,2,1,0,0,1176,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.03,3416,TRUE,TRUE,87,33676,5,0,65.7752,1,6,0,1,32425,21,53,16,3,1,0,0,1169,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.03,3476,FALSE,TRUE,87,33676,8,1,87.5338,2,6,0,2,32425,22,47,23,1,2,0,0,1179,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.01,3732,FALSE,TRUE,87,33676,2,1,87.0824,2,8,0,0,32425,21,48,23,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.01,3412,TRUE,TRUE,87,33676,4,0,65.1878,1,7,0,0,32425,22,46,24,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.08,3412,TRUE,TRUE,87,33676,4,0,86.5862,1,6,0,2,32425,22,47,24,2,2,0,0,1176,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.05,3352,FALSE,TRUE,87,33676,1,0,65.7858,1,8,0,0,32425,21,47,24,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.06,3412,FALSE,TRUE,87,33676,5,0,65.5866,1,7,0,0,32425,22,46,24,3,2,0,0,1168,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.02,3416,FALSE,TRUE,87,33676,6,0,65.6441,1,6,0,1,32425,21,51,16,3,1,0,0,1169,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.05,3412,TRUE,TRUE,87,33676,5,0,65.2882,1,7,0,0,32425,20,53,16,3,1,0,0,1169,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.01,3352,FALSE,TRUE,87,33676,1,0,65.6096,1,8,0,0,32425,21,47,24,3,2,0,0,1168,0,0,0,0,0
ASLink-PT-01a,1,0.04,3384,TRUE,TRUE,431,735,7,0,0.184663,1,58,16,18,7,10,333,0,0,0,0,0,652,0,0,0,0,0
ASLink-PT-01a,10,0.02,3380,TRUE,TRUE,431,735,7,0,0.184127,1,62,18,18,8,13,324,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,11,0.14,3316,TRUE,TRUE,431,735,2,0,0.184757,1,62,18,18,8,13,329,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,12,0.09,3316,TRUE,TRUE,431,735,2,0,0.184048,1,62,18,18,8,13,329,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,13,0.06,3320,FALSE,TRUE,431,735,1,0,0.184639,1,62,18,18,8,13,330,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,14,0.07,3324,FALSE,TRUE,431,735,1,0,0.184859,1,61,18,17,8,12,333,0,0,0,0,0,645,0,0,0,0,0
ASLink-PT-01a,15,0.12,3380,TRUE,TRUE,431,735,4,0,0.185073,1,61,13,18,8,13,329,0,0,0,0,0,644,0,0,0,0,0
ASLink-PT-01a,16,0.09,3388,TRUE,TRUE,431,735,7,0,0.18173,1,55,17,19,8,20,325,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,2,0.18,3320,TRUE,TRUE,431,735,2,0,0.18434,1,62,18,18,8,13,329,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,3,0.26,3320,TRUE,TRUE,431,735,1,0,0.181855,1,60,18,18,8,14,332,0,0,0,0,0,644,0,0,0,0,0
ASLink-PT-01a,4,0.11,3324,FALSE,TRUE,431,735,1,0,0.18437,1,61,18,17,8,13,332,0,0,0,0,0,644,0,0,0,0,0
ASLink-PT-01a,5,0.02,3388,TRUE,TRUE,431,735,11,0,0.182481,1,57,18,18,8,14,325,0,0,0,0,0,645,0,0,0,0,0
ASLink-PT-01a,6,0.17,3388,TRUE,TRUE,431,735,3,0,0.18384,1,62,18,18,8,13,329,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,7,0.17,3388,TRUE,TRUE,431,735,5,0,0.18179,1,58,18,19,8,15,328,0,0,0,0,0,645,0,0,0,0,0
ASLink-PT-01a,8,0.04,3324,FALSE,TRUE,431,735,1,0,0.183008,1,60,18,19,8,14,330,0,0,0,0,0,643,0,0,0,0,0
ASLink-PT-01a,9,0.03,3384,FALSE,TRUE,431,735,2,0,0.184776,1,60,18,19,8,13,331,0,0,0,0,0,644,0,0,0,0,0
ASLink-PT-01b,1,0.01,3412,TRUE,TRUE,846,1148,4,0,0.4151,1,455,29,22,8,9,340,0,0,0,0,0,657,0,0,0,0,0
ASLink-PT-01b,10,0.08,3348,FALSE,TRUE,846,1148,2,0,0.414363,1,456,30,22,8,9,339,0,0,0,0,0,655,0,0,0,0,0
ASLink-PT-01b,11,0.14,3416,FALSE,TRUE,846,1148,8,0,0.420866,1,453,24,19,8,11,340,0,0,0,0,0,658,0,0,0,0,0
ASLink-PT-01b,12,0.04,3412,TRUE,TRUE,846,1148,3,0,0.415834,1,455,29,21,8,9,340,0,0,0,0,0,656,0,0,0,0,0
ASLink-PT-01b,13,0.06,3408,FALSE,TRUE,846,1148,4,0,0.417685,1,459,25,22,8,38,308,0,0,0,0,0,613,0,0,0,0,0
ASLink-PT-01b,14,0.18,3412,TRUE,TRUE,846,1148,9,0,0.416715,1,452,27,20,8,14,337,0,0,0,0,0,657,0,0,0,0,0
ASLink-PT-01b,15,0.05,3796,TRUE,TRUE,846,1148,9,1,0.4153,2,449,29,23,8,41,308,0,0,0,0,0,616,0,0,0,0,0
ASLink-PT-01b,16,0.14,3408,TRUE,TRUE,846,1148,3,0,0.415759,1,453,29,20,7,10,344,0,0,0,0,0,659,0,0,0,0,0
ASLink-PT-01b,2,0.12,3344,TRUE,TRUE,846,1148,1,0,0.414587,1,457,30,22,8,8,340,0,0,0,0,0,655,0,0,0,0,0
ASLink-PT-01b,3,0.06,3408,FALSE,TRUE,846,1148,4,0,0.411461,1,453,30,22,8,10,340,0,0,0,0,0,657,0,0,0,0,0
ASLink-PT-01b,4,0.14,3348,TRUE,TRUE,846,1148,1,0,0.414249,1,456,30,22,8,9,340,0,0,0,0,0,655,0,0,0,0,0
ASLink-PT-01b,5,0.16,3408,TRUE,TRUE,846,1148,4,0,0.414521,1,454,29,21,8,10,341,0,0,0,0,0,657,0,0,0,0,0
ASLink-PT-01b,6,0.03,3408,TRUE,TRUE,846,1148,3,0,0.413229,1,455,29,22,8,9,339,0,0,0,0,0,656,0,0,0,0,0
ASLink-PT-01b,7,0.11,3340,TRUE,TRUE,846,1148,2,0,0.467517,1,455,30,21,8,7,343,0,0,0,0,0,658,0,0,0,0,0
ASLink-PT-01b,8,0.06,3408,TRUE,TRUE,846,1148,6,0,0.41522,1,451,30,20,8,13,340,0,0,0,0,0,656,0,0,0,0,0
ASLink-PT-01b,9,0.02,3352,FALSE,TRUE,846,1148,1,0,0.41365,1,458,30,22,8,7,339,0,0,0,0,0,655,0,0,0,0,0
