"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M","rule N"
"ARMCacheCoherence-PT-none","1","300.00","137672","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","10","300.00","137476","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","11","300.00","138132","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","12","88.40","139632","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","13","300.00","136392","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","14","91.90","137152","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","15","91.36","139256","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","16","300.00","139548","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","2","300.00","139320","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","3","95.46","137296","FALSE","FALSE","87","33676","86","33673","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","4","300.00","138144","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","5","300.00","136508","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","6","300.00","138284","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","7","98.00","138400","TRUE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","8","300.00","138636","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","9","300.00","137100","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","1","300.01","204552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","10","300.00","109380","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","11","42.40","7356","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","12","42.92","7368","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","13","300.01","154576","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","14","241.18","109980","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","15","42.64","7368","FALSE","FALSE","431","735","336","653","68","13","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","16","300.01","144116","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","2","42.18","7364","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","3","300.01","152020","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","4","240.78","109296","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","5","300.01","174028","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","6","42.44","7392","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","7","259.05","121184","TRUE","FALSE","431","735","337","654","66","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","8","300.01","153528","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","9","300.01","182976","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","1","37.53","7764","FALSE","FALSE","846","1148","353","667","455","29","20","8","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","10","47.50","7768","TRUE","FALSE","846","1148","343","660","461","30","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","11","300.00","195708","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","12","263.06","127368","TRUE","FALSE","846","1148","348","663","459","29","20","8","0","1","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","13","292.60","128840","FALSE","FALSE","846","1148","346","662","463","25","20","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","14","48.92","7908","FALSE","FALSE","846","1148","353","667","457","27","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","15","300.00","133020","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","16","49.23","7980","FALSE","FALSE","846","1148","352","667","456","29","19","7","0","1","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","2","47.28","7968","FALSE","FALSE","846","1148","342","659","462","30","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","3","300.00","128708","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","4","300.00","153188","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","5","48.58","7768","FALSE","FALSE","846","1148","348","663","459","29","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","6","263.69","112440","TRUE","FALSE","846","1148","344","661","460","29","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","7","48.01","7756","FALSE","FALSE","846","1148","346","662","459","30","20","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","8","300.00","162852","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","9","300.00","136148","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","300.00","102028","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","83.99","7588","FALSE","FALSE","626","1008","477","882","104","28","30","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","11","84.67","7588","TRUE","FALSE","626","1008","477","882","104","28","30","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","12","300.00","119564","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","86.75","7580","FALSE","FALSE","626","1008","479","881","105","28","31","11","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","14","300.00","154064","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.00","123428","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","197.77","51860","FALSE","FALSE","626","1008","474","880","106","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","2","300.01","178988","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","300.00","96448","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","84.18","7588","FALSE","FALSE","626","1008","474","880","106","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","5","84.26","7588","FALSE","FALSE","626","1008","474","880","106","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","6","300.00","101580","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.00","159172","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","84.49","7592","FALSE","FALSE","626","1008","476","882","104","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","9","300.00","115728","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","98.60","9280","FALSE","FALSE","1242","1621","499","902","680","46","31","10","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","10","300.00","123740","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","96.61","9288","TRUE","FALSE","1242","1621","486","892","688","47","34","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","12","103.85","10880","TRUE","FALSE","1242","1621","501","903","681","43","31","11","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","94.81","9288","FALSE","FALSE","1242","1621","484","890","690","47","34","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","14","300.00","142160","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
