model name,query index,verifcation time,verifcation memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.24,6196,FALSE,TRUE,87,33676,67,802,0.581266,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.04,6180,TRUE,TRUE,87,33676,67,762,0.580247,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.09,5916,FALSE,TRUE,87,33676,61,698,0.58195,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.10,3348,FALSE,TRUE,87,33676,1,1,0.532897,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.02,5988,FALSE,TRUE,87,33676,62,727,0.582504,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.05,6964,FALSE,FALSE,87,33676,64,731,0.580154,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.05,7120,FALSE,FALSE,87,33676,64,743,0.582672,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.02,6084,FALSE,TRUE,87,33676,64,761,0.582917,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.01,5916,FALSE,TRUE,87,33676,60,697,0.583184,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.03,7012,FALSE,FALSE,87,33676,61,698,0.58501,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.07,6184,TRUE,TRUE,87,33676,63,772,0.584489,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.01,5920,FALSE,TRUE,87,33676,60,697,0.583645,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.02,6192,FALSE,TRUE,87,33676,65,800,0.583407,192153601,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.03,7012,TRUE,FALSE,87,33676,62,699,0.581183,136500802,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.02,5984,TRUE,TRUE,87,33676,62,727,0.580838,136724802,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.05,5916,FALSE,TRUE,87,33676,61,698,0.583927,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.97,5888,TRUE,TRUE,431,735,349,662,0.00274,45764839,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.02,5512,TRUE,TRUE,431,735,334,651,0.003442,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.18,7404,FALSE,FALSE,431,735,334,651,0.003437,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,3.81,7600,FALSE,FALSE,431,735,334,651,0.003428,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.01,5452,FALSE,TRUE,431,735,334,651,0.003415,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.02,5448,FALSE,TRUE,431,735,336,652,0.003413,41838501,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.02,7408,FALSE,FALSE,431,735,336,653,0.00343,36507868,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.01,5516,TRUE,TRUE,431,735,340,657,0.003455,35943033,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.31,6880,FALSE,FALSE,431,735,334,651,0.00344,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.02,5440,TRUE,TRUE,431,735,336,653,0.003464,35321353,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.02,5448,FALSE,TRUE,431,735,336,652,0.003458,35337217,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,1.13,5732,TRUE,TRUE,431,735,346,659,0.002742,47479739,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.05,7404,FALSE,FALSE,431,735,334,651,0.003432,35136997,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,2.59,5960,TRUE,TRUE,431,735,337,654,0.003467,35551509,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.01,5448,FALSE,TRUE,431,735,335,652,0.003443,35232193,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.02,5524,FALSE,TRUE,431,735,343,657,0.002742,45118459,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,4.20,7340,FALSE,FALSE,846,1148,353,667,0.003492,53044546,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.07,7420,TRUE,FALSE,846,1148,343,660,0.004444,37630607,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.02,5724,FALSE,TRUE,846,1148,357,670,0.00446,98753633,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.02,5536,TRUE,TRUE,846,1148,348,663,0.00442,37767455,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.83,5660,FALSE,TRUE,846,1148,346,662,0.00446,71514204,463,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.05,7348,FALSE,FALSE,846,1148,353,667,0.004469,55755799,457,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.72,5800,TRUE,TRUE,846,1148,359,672,0.004462,136141919,450,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.03,6816,FALSE,FALSE,846,1148,352,667,0.004428,38389466,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,1.89,7416,FALSE,FALSE,846,1148,342,659,0.004417,38435999,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
