"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M","rule N"
"ARMCacheCoherence-PT-none","1","300.00","137476","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","10","300.00","137572","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","11","300.00","138180","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","12","88.19","137556","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","13","300.00","137136","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","14","91.75","137436","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","15","91.12","139260","FALSE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","16","300.00","137652","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","2","300.00","138020","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","3","95.14","137828","FALSE","FALSE","87","33676","86","33673","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","4","300.00","138756","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","5","300.00","137380","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","6","300.00","136728","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","7","97.80","136648","TRUE","FALSE","87","33676","87","33672","0","0","0","4","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","8","300.00","138392","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ARMCacheCoherence-PT-none","9","300.00","139008","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","1","300.01","223764","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","10","300.00","123180","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","11","0.47","7312","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","12","1.05","7312","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","13","300.00","184904","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","14","200.08","110072","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","15","0.41","7576","FALSE","FALSE","431","735","336","653","68","13","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","16","300.00","165728","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","2","0.37","7312","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","3","300.01","186028","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","4","200.42","109356","FALSE","FALSE","431","735","336","652","68","18","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","5","300.01","183724","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","6","0.37","7576","FALSE","FALSE","431","735","334","651","69","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","7","218.55","121224","TRUE","FALSE","431","735","337","654","66","18","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","8","300.01","183476","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","9","300.00","204068","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","1","1.75","7788","FALSE","FALSE","846","1148","353","667","455","29","20","8","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","10","1.96","7964","TRUE","FALSE","846","1148","343","660","461","30","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","11","300.01","234492","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","12","216.79","127372","TRUE","FALSE","846","1148","348","663","459","29","20","8","0","1","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","13","245.76","128832","FALSE","FALSE","846","1148","346","662","463","25","20","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","14","1.75","7968","FALSE","FALSE","846","1148","353","667","457","27","18","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","15","300.00","156868","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","16","1.79","7964","FALSE","FALSE","846","1148","352","667","456","29","19","7","0","1","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","2","1.71","7964","FALSE","FALSE","846","1148","342","659","462","30","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","3","300.00","149552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","4","300.00","181980","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","5","1.76","7964","FALSE","FALSE","846","1148","348","663","459","29","19","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","6","217.24","112248","TRUE","FALSE","846","1148","344","661","460","29","21","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","7","1.70","7964","FALSE","FALSE","846","1148","346","662","459","30","20","8","0","2","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","8","300.01","192708","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","9","300.00","158768","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","126.55","65780","FALSE","FALSE","626","1008","470","875","112","27","30","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","0.76","7672","FALSE","FALSE","626","1008","468","874","112","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","11","0.75","7672","TRUE","FALSE","626","1008","468","874","112","28","31","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","12","300.01","164816","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","0.74","7672","FALSE","FALSE","626","1008","479","881","105","28","31","11","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","14","300.01","211828","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.01","166372","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","94.51","47820","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","2","300.01","233084","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","300.00","127548","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","0.70","7672","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","5","0.69","7676","FALSE","FALSE","626","1008","465","872","114","28","32","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","6","300.00","129928","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.01","220592","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","0.78","7672","FALSE","FALSE","626","1008","467","874","112","28","32","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","9","300.00","154172","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","3.47","9124","FALSE","FALSE","1242","1621","491","895","687","46","32","10","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","10","300.00","194572","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","3.70","9284","TRUE","FALSE","1242","1621","477","884","696","47","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","12","7.67","10964","TRUE","FALSE","1242","1621","493","896","688","43","32","11","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","3.49","9284","FALSE","FALSE","1242","1621","475","882","698","47","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","14","300.01","212000","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","300.00","166196","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","3.52","9284","TRUE","FALSE","1242","1621","475","882","698","47","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","2","300.01","170868","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","3","14.13","14872","TRUE","FALSE","1242","1621","499","901","682","45","30","10","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","4","3.54","9272","FALSE","FALSE","1242","1621","479","886","695","46","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","5","3.67","9288","FALSE","FALSE","1242","1621","476","883","697","47","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","6","300.01","179096","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","7","29.20","23748","TRUE","FALSE","1242","1621","487","893","689","46","34","10","0","3","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","8","3.90","9276","FALSE","FALSE","1242","1621","477","884","696","47","35","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","9","3.45","9284","FALSE","FALSE","1242","1621","485","890","690","47","33","11","0","4","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","1","300.00","160336","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","10","300.00","134296","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","11","300.00","128064","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","12","29.87","17340","FALSE","FALSE","821","1281","596","1093","159","38","45","14","0","6","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","13","300.00","148616","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","14","1.38","8700","FALSE","FALSE","821","1281","597","1094","158","38","45","14","0","6","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","15","1.32","8696","TRUE","FALSE","821","1281","597","1094","159","37","45","14","0","6","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","16","300.00","120024","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","2","1.13","8636","FALSE","FALSE","821","1281","598","1094","158","38","44","14","0","6","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","3","300.00","144140","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","4","300.01","178796","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
