model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.09,6192,FALSE,TRUE,87,33676,67,802,0.591453,208946562,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.02,6176,TRUE,TRUE,87,33676,67,762,0.582459,320497762,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.05,5912,FALSE,TRUE,87,33676,61,698,0.596189,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.05,3348,FALSE,TRUE,87,33676,1,1,0.545271,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.03,5984,FALSE,TRUE,87,33676,62,727,0.592634,147929601,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.03,6968,FALSE,FALSE,87,33676,64,731,0.584614,248027202,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.07,7120,FALSE,FALSE,87,33676,64,743,0.595308,162270402,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.03,6088,FALSE,TRUE,87,33676,64,761,0.589117,304860601,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.04,5912,FALSE,TRUE,87,33676,60,697,0.583831,125296001,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.05,7012,FALSE,FALSE,87,33676,61,698,0.593667,136500801,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.02,6176,TRUE,TRUE,87,33676,63,772,0.595914,218130001,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
