model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02,6188,FALSE,TRUE,87,33676,67,802,0.583138,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,489,0
ARMCacheCoherence-PT-none,10,0.02,6180,TRUE,TRUE,87,33676,67,762,0.581406,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,525,0
ARMCacheCoherence-PT-none,11,0.07,5912,FALSE,TRUE,87,33676,61,698,0.583881,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ARMCacheCoherence-PT-none,12,0.01,3344,FALSE,TRUE,87,33676,1,1,0.531953,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.02,5984,FALSE,TRUE,87,33676,62,727,0.583652,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,591,0
ARMCacheCoherence-PT-none,14,0.02,6964,FALSE,FALSE,87,33676,64,731,0.581211,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,585,0
ARMCacheCoherence-PT-none,15,0.02,7120,FALSE,FALSE,87,33676,64,743,0.582775,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,603,0
ARMCacheCoherence-PT-none,16,0.01,6084,FALSE,TRUE,87,33676,64,761,0.581246,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,537,0
ARMCacheCoherence-PT-none,2,0.01,5912,FALSE,TRUE,87,33676,60,697,0.583542,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,649,0
ARMCacheCoherence-PT-none,3,0.03,7012,FALSE,FALSE,87,33676,61,698,0.584143,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ARMCacheCoherence-PT-none,4,0.02,6180,TRUE,TRUE,87,33676,63,772,0.582999,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,551,0
ARMCacheCoherence-PT-none,5,0.02,5916,FALSE,TRUE,87,33676,60,697,0.58336,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,649,0
ARMCacheCoherence-PT-none,6,0.08,6188,FALSE,TRUE,87,33676,65,800,0.585067,192153601,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,491,0
ARMCacheCoherence-PT-none,7,0.06,7012,TRUE,FALSE,87,33676,62,699,0.581601,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ARMCacheCoherence-PT-none,8,0.01,5984,TRUE,TRUE,87,33676,62,727,0.582951,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,593,0
ARMCacheCoherence-PT-none,9,0.01,5916,FALSE,TRUE,87,33676,61,698,0.583754,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ASLink-PT-01a,1,0.76,5864,TRUE,TRUE,431,735,348,661,0.001691,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,8,0
ASLink-PT-01a,10,0.02,5512,TRUE,TRUE,431,735,333,650,0.0028,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,13,0
ASLink-PT-01a,11,0.24,7396,FALSE,FALSE,431,735,333,650,0.002781,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,13,0
ASLink-PT-01a,12,3.79,8016,FALSE,FALSE,431,735,334,651,0.002775,35136997,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,12,0
ASLink-PT-01a,13,0.02,5436,FALSE,TRUE,431,735,333,650,0.002733,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,13,0
ASLink-PT-01a,14,0.02,5440,FALSE,TRUE,431,735,335,651,0.002755,41723891,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,13,0
ASLink-PT-01a,15,0.02,7408,FALSE,FALSE,431,735,335,652,0.002857,36411410,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,13,0
