model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.05,6196,FALSE,TRUE,87,33676,67,802,0.590054,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,489,0
ARMCacheCoherence-PT-none,10,0.02,6100,TRUE,TRUE,87,33676,67,762,0.581442,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,525,0
ARMCacheCoherence-PT-none,11,0.09,5916,FALSE,TRUE,87,33676,61,698,0.585565,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ARMCacheCoherence-PT-none,12,0.01,3352,FALSE,TRUE,87,33676,1,1,0.548215,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.02,5988,FALSE,TRUE,87,33676,62,727,0.586126,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,591,0
ARMCacheCoherence-PT-none,14,0.19,6968,FALSE,FALSE,87,33676,64,731,0.592087,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,585,0
ARMCacheCoherence-PT-none,15,0.03,7120,FALSE,FALSE,87,33676,64,743,0.601756,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,603,0
ARMCacheCoherence-PT-none,16,0.04,6088,FALSE,TRUE,87,33676,64,761,0.586279,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,537,0
ARMCacheCoherence-PT-none,2,0.05,5916,FALSE,TRUE,87,33676,60,697,0.591636,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,649,0
ARMCacheCoherence-PT-none,3,0.12,7012,FALSE,FALSE,87,33676,61,698,0.607016,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,647,0
ARMCacheCoherence-PT-none,4,0.09,6184,TRUE,TRUE,87,33676,63,772,0.594062,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,551,0
ARMCacheCoherence-PT-none,5,0.06,5920,FALSE,TRUE,87,33676,60,697,0.593239,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,649,0
