model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.07,6164,FALSE,TRUE,87,33676,67,802,0.645379,208946562,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.02,6240,TRUE,TRUE,87,33676,67,762,0.596062,320497762,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.03,5980,FALSE,TRUE,87,33676,61,698,0.587111,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.05,3412,FALSE,TRUE,87,33676,1,1,0.535105,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.03,6048,FALSE,TRUE,87,33676,62,727,0.585595,147929601,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.04,7088,FALSE,FALSE,87,33676,64,731,0.580824,248027202,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.06,7240,FALSE,FALSE,87,33676,64,743,0.58499,162270402,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.02,6152,FALSE,TRUE,87,33676,64,761,0.582077,304860601,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.01,5976,FALSE,TRUE,87,33676,60,697,0.585702,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.12,7132,FALSE,FALSE,87,33676,61,698,0.587606,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.02,6244,TRUE,TRUE,87,33676,63,772,0.621815,218130001,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.02,5976,FALSE,TRUE,87,33676,60,697,0.603765,125296001,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.02,6256,FALSE,TRUE,87,33676,65,800,0.588183,192153601,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.02,7132,TRUE,FALSE,87,33676,62,699,0.590984,136500802,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.04,6052,TRUE,TRUE,87,33676,62,727,0.588412,136724802,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.01,5976,FALSE,TRUE,87,33676,61,698,0.608151,136500801,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,3.52,6256,TRUE,TRUE,431,735,348,661,0.001663,45441557,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.06,5576,TRUE,TRUE,431,735,333,650,0.00273,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.10,7456,FALSE,FALSE,431,735,333,650,0.002742,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,3.51,7972,FALSE,FALSE,431,735,334,651,0.002727,35136997,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.01,5496,FALSE,TRUE,431,735,333,650,0.002723,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.01,5504,FALSE,TRUE,431,735,335,651,0.002699,41723891,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.06,7524,FALSE,FALSE,431,735,335,652,0.002741,36411410,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,16,0.01,5572,TRUE,TRUE,431,735,339,656,0.002756,35845351,51,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,2,1.65,7460,FALSE,FALSE,431,735,333,650,0.002749,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.06,5504,TRUE,TRUE,431,735,335,652,0.002747,35224895,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,4,0.02,5504,FALSE,TRUE,431,735,335,651,0.002716,35240111,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,5,0.87,5772,TRUE,TRUE,431,735,345,658,0.001634,47349724,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,6,9.74,8216,FALSE,FALSE,431,735,333,650,0.002714,35040539,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,7,1.03,5808,TRUE,TRUE,431,735,336,653,0.002723,35454491,54,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,8,0.02,5516,FALSE,TRUE,431,735,334,651,0.002726,35135735,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,9,0.02,5580,FALSE,TRUE,431,735,342,656,0.001626,44993988,55,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01b,1,2.17,7052,FALSE,FALSE,846,1148,346,720,0.002333,51732664,445,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,10,0.03,7496,TRUE,FALSE,846,1148,337,664,0.003718,36278045,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,11,0.03,5788,FALSE,TRUE,846,1148,351,674,0.002973,95402098,443,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-01b,12,0.02,5772,TRUE,TRUE,846,1148,342,667,0.00367,36323699,447,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,28
ASLink-PT-01b,13,1.71,5740,FALSE,TRUE,846,1148,339,665,0.003675,68719727,446,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,34
ASLink-PT-01b,14,0.04,7476,FALSE,FALSE,846,1148,347,671,0.002983,53805826,442,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,15,0.31,5816,TRUE,TRUE,846,1148,352,675,0.00297,131438923,441,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-01b,16,0.06,6944,FALSE,FALSE,846,1148,346,671,0.003685,36922264,445,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,27
ASLink-PT-01b,2,5.84,7468,FALSE,FALSE,846,1148,335,662,0.0037,36987131,448,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,3,0.02,5764,FALSE,TRUE,846,1148,339,666,0.00372,115065491,444,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,4,0.01,5532,TRUE,TRUE,846,1148,336,663,0.003703,36177307,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,5,1.16,7460,FALSE,FALSE,846,1148,341,666,0.002956,44131183,446,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,6,0.01,5592,TRUE,TRUE,846,1148,337,664,0.003721,36338485,446,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,7,0.03,7496,FALSE,FALSE,846,1148,339,665,0.003708,45252461,446,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,8,0.07,5784,TRUE,TRUE,846,1148,349,672,0.002987,89439238,442,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,27
ASLink-PT-01b,9,0.01,5580,FALSE,TRUE,846,1148,334,661,0.003673,35992951,449,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-02a,1,13.45,57944,FALSE,FALSE,626,1008,469,874,0.00365,0,91,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,10,7.98,8168,FALSE,FALSE,626,1008,467,873,0.003647,0,91,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,11,0.04,8000,TRUE,FALSE,626,1008,467,873,0.003621,0,92,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,23
ASLink-PT-02a,12,12.05,79568,TRUE,FALSE,626,1008,469,874,0.003619,0,93,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,22
ASLink-PT-02a,13,0.22,7788,FALSE,FALSE,626,1008,478,880,0.002172,0,92,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,14
ASLink-PT-02a,14,0.04,6244,FALSE,TRUE,626,1008,464,871,0.003628,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,15,300.06,1362376,NONE,FALSE,626,1008,477,881,0.002894,0,91,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,19
ASLink-PT-02a,16,12.28,54040,FALSE,FALSE,626,1008,464,871,0.003642,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,2,0.03,6244,FALSE,TRUE,626,1008,464,871,0.00361,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,3,0.07,6288,TRUE,TRUE,626,1008,464,871,0.003619,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,4,0.02,7404,FALSE,FALSE,626,1008,464,871,0.003622,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,5,0.02,7408,FALSE,FALSE,626,1008,464,871,0.003644,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,6,0.02,6304,TRUE,TRUE,626,1008,466,873,0.003625,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,7,1.01,6472,FALSE,TRUE,626,1008,473,878,0.00289,0,91,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,20
ASLink-PT-02a,8,0.60,7464,FALSE,FALSE,626,1008,466,873,0.003608,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,9,0.02,6288,FALSE,TRUE,626,1008,465,872,0.003671,0,93,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02b,1,0.13,7480,FALSE,FALSE,1242,1621,485,889,0.005059,0,666,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-02b,10,0.02,6244,FALSE,TRUE,1242,1621,466,883,0.005047,0,675,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,11,0.10,7972,TRUE,FALSE,1242,1621,469,886,0.005037,0,672,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,12,0.67,8060,TRUE,FALSE,1242,1621,485,898,0.005116,0,665,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-02b,13,0.08,7432,FALSE,FALSE,1242,1621,467,884,0.005036,0,674,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,14,0.01,6356,TRUE,TRUE,1242,1621,486,899,0.005361,0,665,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,15,1.99,8044,TRUE,FALSE,1242,1621,479,893,0.004021,0,670,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,40
ASLink-PT-02b,16,0.03,7432,TRUE,FALSE,1242,1621,467,884,0.005057,0,674,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,2,0.01,6328,TRUE,TRUE,1242,1621,474,890,0.005165,0,668,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,3,2.79,7476,TRUE,FALSE,1242,1621,492,904,0.00511,0,662,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,39
ASLink-PT-02b,4,0.04,6976,FALSE,FALSE,1242,1621,472,889,0.005046,0,671,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-02b,5,0.15,6908,FALSE,FALSE,1242,1621,468,885,0.005129,0,673,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,6,0.02,6256,FALSE,TRUE,1242,1621,467,884,0.005036,0,674,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,45
ASLink-PT-02b,7,4.18,18948,TRUE,FALSE,1242,1621,480,896,0.005071,0,667,46,34,10,0,3,0,0,0,0,0,0,0,0,0,0,41
ASLink-PT-02b,8,0.36,7972,FALSE,FALSE,1242,1621,469,886,0.005241,0,672,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,9,7.71,8124,FALSE,FALSE,1242,1621,477,892,0.005091,0,666,47,33,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-03a,1,300.07,1185120,NONE,FALSE,821,1281,596,1093,0.004595,0,129,33,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,10,0.09,7032,FALSE,TRUE,821,1281,600,1095,0.003604,0,127,38,43,14,0,6,0,0,0,0,0,0,0,0,0,0,34
