model name,query index,type
ARMCacheCoherence-PT-none,1,EF
ARMCacheCoherence-PT-none,2,EF
ARMCacheCoherence-PT-none,3,AG
ARMCacheCoherence-PT-none,4,AG
ARMCacheCoherence-PT-none,5,EF
ARMCacheCoherence-PT-none,6,EF
ARMCacheCoherence-PT-none,7,EF
ARMCacheCoherence-PT-none,8,AG
ARMCacheCoherence-PT-none,9,EF
ARMCacheCoherence-PT-none,10,AG
ARMCacheCoherence-PT-none,11,EF
ARMCacheCoherence-PT-none,12,EF
ARMCacheCoherence-PT-none,13,EF
ARMCacheCoherence-PT-none,14,AG
ARMCacheCoherence-PT-none,15,AG
ARMCacheCoherence-PT-none,16,EF
ASLink-PT-01a,1,AG
ASLink-PT-01a,2,AG
ASLink-PT-01a,3,AG
ASLink-PT-01a,4,EF
ASLink-PT-01a,5,AG
ASLink-PT-01a,6,AG
ASLink-PT-01a,7,AG
ASLink-PT-01a,8,EF
ASLink-PT-01a,9,EF
ASLink-PT-01a,10,AG
ASLink-PT-01a,11,AG
ASLink-PT-01a,12,AG
ASLink-PT-01a,13,EF
ASLink-PT-01a,14,EF
ASLink-PT-01a,15,AG
ASLink-PT-01a,16,AG
ASLink-PT-01b,1,AG
ASLink-PT-01b,2,AG
ASLink-PT-01b,3,EF
ASLink-PT-01b,4,AG
ASLink-PT-01b,5,AG
ASLink-PT-01b,6,AG
ASLink-PT-01b,7,AG
ASLink-PT-01b,8,AG
ASLink-PT-01b,9,EF
ASLink-PT-01b,10,EF
ASLink-PT-01b,11,EF
ASLink-PT-01b,12,AG
ASLink-PT-01b,13,EF
ASLink-PT-01b,14,AG
ASLink-PT-01b,15,AG
ASLink-PT-01b,16,AG
ASLink-PT-02a,1,AG
ASLink-PT-02a,2,EF
ASLink-PT-02a,3,AG
ASLink-PT-02a,4,AG
ASLink-PT-02a,5,AG
ASLink-PT-02a,6,AG
ASLink-PT-02a,7,EF
ASLink-PT-02a,8,AG
ASLink-PT-02a,9,EF
ASLink-PT-02a,10,AG
ASLink-PT-02a,11,EF
ASLink-PT-02a,12,EF
ASLink-PT-02a,13,AG
ASLink-PT-02a,14,EF
ASLink-PT-02a,15,EF
ASLink-PT-02a,16,AG
ASLink-PT-02b,1,AG
ASLink-PT-02b,2,AG
ASLink-PT-02b,3,EF
ASLink-PT-02b,4,AG
ASLink-PT-02b,5,AG
ASLink-PT-02b,6,EF
ASLink-PT-02b,7,EF
ASLink-PT-02b,8,AG
ASLink-PT-02b,9,AG
ASLink-PT-02b,10,EF
ASLink-PT-02b,11,EF
ASLink-PT-02b,12,EF
ASLink-PT-02b,13,AG
ASLink-PT-02b,14,AG
ASLink-PT-02b,15,EF
ASLink-PT-02b,16,EF
ASLink-PT-03a,1,AG
ASLink-PT-03a,2,AG
ASLink-PT-03a,3,AG
ASLink-PT-03a,4,AG
ASLink-PT-03a,5,AG
ASLink-PT-03a,6,AG
ASLink-PT-03a,7,EF
ASLink-PT-03a,8,AG
ASLink-PT-03a,9,EF
ASLink-PT-03a,10,EF
ASLink-PT-03a,11,AG
ASLink-PT-03a,12,AG
ASLink-PT-03a,13,EF
ASLink-PT-03a,14,AG
ASLink-PT-03a,15,EF
ASLink-PT-03a,16,AG
ASLink-PT-03b,1,EF
ASLink-PT-03b,2,AG
ASLink-PT-03b,3,EF
ASLink-PT-03b,4,EF
ASLink-PT-03b,5,EF
ASLink-PT-03b,6,AG
ASLink-PT-03b,7,AG
ASLink-PT-03b,8,EF
ASLink-PT-03b,9,AG
ASLink-PT-03b,10,AG
ASLink-PT-03b,11,EF
ASLink-PT-03b,12,AG
ASLink-PT-03b,13,EF
ASLink-PT-03b,14,AG
ASLink-PT-03b,15,EF
ASLink-PT-03b,16,AG
ASLink-PT-04a,1,AG
ASLink-PT-04a,2,AG
ASLink-PT-04a,3,EF
ASLink-PT-04a,4,EF
ASLink-PT-04a,5,AG
ASLink-PT-04a,6,AG
ASLink-PT-04a,7,EF
ASLink-PT-04a,8,AG
ASLink-PT-04a,9,AG
ASLink-PT-04a,10,EF
ASLink-PT-04a,11,EF
ASLink-PT-04a,12,EF
ASLink-PT-04a,13,EF
ASLink-PT-04a,14,EF
ASLink-PT-04a,15,EF
ASLink-PT-04a,16,EF
ASLink-PT-04b,1,AG
ASLink-PT-04b,2,EF
ASLink-PT-04b,3,AG
ASLink-PT-04b,4,EF
ASLink-PT-04b,5,AG
ASLink-PT-04b,6,AG
ASLink-PT-04b,7,EF
ASLink-PT-04b,8,AG
ASLink-PT-04b,9,EF
ASLink-PT-04b,10,EF
ASLink-PT-04b,11,EF
ASLink-PT-04b,12,AG
ASLink-PT-04b,13,AG
ASLink-PT-04b,14,AG
ASLink-PT-04b,15,AG
ASLink-PT-04b,16,AG
ASLink-PT-05a,1,AG
ASLink-PT-05a,2,AG
ASLink-PT-05a,3,EF
ASLink-PT-05a,4,EF
ASLink-PT-05a,5,AG
ASLink-PT-05a,6,AG
ASLink-PT-05a,7,EF
ASLink-PT-05a,8,AG
ASLink-PT-05a,9,AG
ASLink-PT-05a,10,AG
ASLink-PT-05a,11,AG
ASLink-PT-05a,12,EF
ASLink-PT-05a,13,EF
ASLink-PT-05a,14,EF
ASLink-PT-05a,15,AG
ASLink-PT-05a,16,AG
ASLink-PT-05b,1,EF
ASLink-PT-05b,2,EF
ASLink-PT-05b,3,AG
ASLink-PT-05b,4,AG
ASLink-PT-05b,5,AG
ASLink-PT-05b,6,AG
ASLink-PT-05b,7,AG
ASLink-PT-05b,8,EF
ASLink-PT-05b,9,EF
ASLink-PT-05b,10,AG
ASLink-PT-05b,11,AG
ASLink-PT-05b,12,EF
ASLink-PT-05b,13,EF
ASLink-PT-05b,14,AG
ASLink-PT-05b,15,AG
ASLink-PT-05b,16,AG
ASLink-PT-06a,1,EF
ASLink-PT-06a,2,AG
ASLink-PT-06a,3,AG
ASLink-PT-06a,4,EF
ASLink-PT-06a,5,EF
ASLink-PT-06a,6,EF
ASLink-PT-06a,7,EF
ASLink-PT-06a,8,AG
ASLink-PT-06a,9,EF
ASLink-PT-06a,10,EF
ASLink-PT-06a,11,AG
ASLink-PT-06a,12,EF
ASLink-PT-06a,13,EF
ASLink-PT-06a,14,AG
ASLink-PT-06a,15,EF
ASLink-PT-06a,16,AG
ASLink-PT-06b,1,AG
ASLink-PT-06b,2,EF
ASLink-PT-06b,3,EF
ASLink-PT-06b,4,AG
ASLink-PT-06b,5,AG
ASLink-PT-06b,6,AG
ASLink-PT-06b,7,EF
ASLink-PT-06b,8,AG
ASLink-PT-06b,9,EF
ASLink-PT-06b,10,AG
ASLink-PT-06b,11,EF
ASLink-PT-06b,12,AG
ASLink-PT-06b,13,EF
ASLink-PT-06b,14,EF
ASLink-PT-06b,15,AG
ASLink-PT-06b,16,AG
ASLink-PT-07a,1,AG
ASLink-PT-07a,2,EF
ASLink-PT-07a,3,AG
ASLink-PT-07a,4,EF
ASLink-PT-07a,5,EF
ASLink-PT-07a,6,AG
ASLink-PT-07a,7,AG
ASLink-PT-07a,8,EF
ASLink-PT-07a,9,AG
ASLink-PT-07a,10,AG
ASLink-PT-07a,11,AG
ASLink-PT-07a,12,AG
ASLink-PT-07a,13,EF
ASLink-PT-07a,14,EF
ASLink-PT-07a,15,EF
ASLink-PT-07a,16,AG
ASLink-PT-07b,1,EF
ASLink-PT-07b,2,AG
ASLink-PT-07b,3,EF
ASLink-PT-07b,4,EF
ASLink-PT-07b,5,EF
ASLink-PT-07b,6,EF
ASLink-PT-07b,7,EF
ASLink-PT-07b,8,AG
ASLink-PT-07b,9,EF
ASLink-PT-07b,10,EF
ASLink-PT-07b,11,AG
ASLink-PT-07b,12,AG
ASLink-PT-07b,13,EF
ASLink-PT-07b,14,EF
ASLink-PT-07b,15,EF
ASLink-PT-07b,16,AG
ASLink-PT-08a,1,AG
ASLink-PT-08a,2,EF
ASLink-PT-08a,3,AG
ASLink-PT-08a,4,EF
ASLink-PT-08a,5,EF
ASLink-PT-08a,6,AG
ASLink-PT-08a,7,EF
ASLink-PT-08a,8,AG
ASLink-PT-08a,9,AG
